; TSI Reconstruction from Wang, Lean, Sheeley (ApJ, 2005)
; Offset -4.8741 W/m^2 to match SORCE/TIM absolute value
;    from Kopp & Lean (GRL, 2011)
1846.5     1360.8062
1847.5     1360.9075
1848.5     1361.1040
1849.5     1361.0950
1850.5     1360.8957
1851.5     1360.9003
1852.5     1360.8206
1853.5     1360.7107
1854.5     1360.5873
1855.5     1360.5087
1856.5     1360.5112
1857.5     1360.6205
1858.5     1360.8134
1859.5     1361.0313
1860.5     1361.0977
1861.5     1360.9882
1862.5     1360.8379
1863.5     1360.7542
1864.5     1360.6919
1865.5     1360.6014
1866.5     1360.5378
1867.5     1360.4856
1868.5     1360.6453
1869.5     1360.8816
1870.5     1361.1203
1871.5     1361.0602
1872.5     1361.0135
1873.5     1360.8125
1874.5     1360.6841
1875.5     1360.5354
1876.5     1360.4852
1877.5     1360.4855
1878.5     1360.4568
1879.5     1360.4792
1880.5     1360.6259
1881.5     1360.7702
1882.5     1360.7935
1883.5     1360.8406
1884.5     1360.7425
1885.5     1360.6329
1886.5     1360.4676
1887.5     1360.4241
1888.5     1360.3887
1889.5     1360.3603
1890.5     1360.3949
1891.5     1360.6463
1892.5     1360.7449
1893.5     1360.8859
1894.5     1360.9812
1895.5     1360.8649
1896.5     1360.6840
1897.5     1360.5385
1898.5     1360.5158
1899.5     1360.4640
1900.5     1360.4333
1901.5     1360.3551
1902.5     1360.3637
1903.5     1360.5738
1904.5     1360.8439
1905.5     1360.6550
1906.5     1360.8514
1907.5     1360.7356
1908.5     1360.8007
1909.5     1360.6901
1910.5     1360.5568
1911.5     1360.4732
1912.5     1360.4269
1913.5     1360.4434
1914.5     1360.5103
1915.5     1360.8149
1916.5     1361.0249
1917.5     1361.1739
1918.5     1361.1355
1919.5     1360.9061
1920.5     1360.7437
1921.5     1360.6386
1922.5     1360.5207
1923.5     1360.5524
1924.5     1360.5840
1925.5     1360.7881
1926.5     1360.8892
1927.5     1361.0727
1928.5     1360.9504
1929.5     1360.9092
1930.5     1360.8914
1931.5     1360.7695
1932.5     1360.6623
1933.5     1360.5415
1934.5     1360.6534
1935.5     1360.8698
1936.5     1361.2592
1937.5     1361.1935
1938.5     1361.1290
1939.5     1361.1127
1940.5     1361.0501
1941.5     1360.9710
1942.5     1360.8678
1943.5     1360.7100
1944.5     1360.7399
1945.5     1361.0069
1946.5     1361.1050
1947.5     1361.3444
1948.5     1361.4749
1949.5     1361.3814
1950.5     1361.1390
1951.5     1360.9024
1952.5     1360.8935
1953.5     1360.7543
1954.5     1360.7823
1955.5     1360.9032
1956.5     1361.4368
1957.5     1361.7940
1958.5     1361.7587
1959.5     1361.5087
1960.5     1361.4026
1961.5     1361.0458
1962.5     1360.8743
1963.5     1360.8222
1964.5     1360.8235
1965.5     1360.8600
1966.5     1361.0437
1967.5     1361.2402
1968.5     1361.2903
1969.5     1361.3735
1970.5     1361.3685
1971.5     1361.0839
1972.5     1361.1784
1973.5     1360.9250
1974.5     1360.8530
1975.5     1360.6604
1976.5     1360.7712
1977.5     1360.9590
1978.5     1361.4006
1979.5     1361.7607
1980.5     1361.7741
1981.5     1361.8210
1982.5     1361.4118
1983.5     1361.3251
1984.5     1360.9362
1985.5     1360.7675
1986.5     1360.7638
1987.5     1360.9158
1988.5     1361.2085
1989.5     1361.7738
1990.5     1361.6792
1991.5     1361.5716
1992.5     1361.4280
1993.5     1361.1545
1994.5     1360.9230
1995.5     1360.8255
1996.5     1360.7380
1997.5     1360.8658
1998.5     1361.2280
1999.5     1361.5110
2000.5     1361.7913
2001.5     1361.7281
2002.5     1361.8066
2003.5     1361.3080
2004.5     1361.1849
2005.5     1361.0062
2006.5     1360.9401
2007.5     1360.8497
2008.5     1360.8225
2009.5     1360.8416
2010.5     1361.0830
2011.5     1361.3473
