"Month","Monthly Southern oscillation index measured as the difference in sea-surface air pressure between Darwin and Tahiti. Jan 1882 ? May 1993."
"1903-07",5.7
"1903-08",0.3
"1903-09",8.7
"1903-10",4.7
"1903-11",1.1
"1903-12",14.6
"1904-01",13.6
"1904-02",16
"1904-03",7.4
"1904-04",27.7
"1904-05",9.2
"1904-06",-6.7
"1904-07",-8.2
"1904-08",0.9
"1904-09",0.5
"1904-10",1.6
"1904-11",-16.7
"1904-12",1.3
"1905-01",-9.9
"1905-02",-18.5
"1905-03",-27.7
"1905-04",-38.2
"1905-05",-34.3
"1905-06",-27.7
"1905-07",-19.8
"1905-08",-7
"1905-09",-6.5
"1905-10",-5.3
"1905-11",-17.3
"1905-12",-14.4
"1906-01",-4.1
"1906-02",-8.6
"1906-06",-3.9
"1906-07",6.3
"1906-08",14.8
"1906-09",18.1
"1906-10",9.8
"1906-11",20.7
"1908-09",17.5
"1908-10",8.5
"1908-11",2.3
"1908-12",-6.8
"1909-01",-3.1
"1909-02",-4.2
"1909-03",-1.2
"1909-04",-13.3
"1909-05",2.5
"1909-06",19.1
"1909-07",9.9
"1909-08",9.4
"1909-09",1.1
"1909-10",4.7
"1909-11",8.7
"1909-12",3.4
"1910-01",5
"1910-02",15
"1910-03",10.3
"1910-04",4.3
"1910-05",1.1
"1910-06",18.4
"1910-07",19
"1910-08",9.4
"1910-09",15.2
"1910-10",11
"1910-11",18.8
"1910-12",14.6
"1911-01",2.6
"1911-02",0.7
"1911-03",2.1
"1911-04",1.3
"1911-05",-7.1
"1911-06",-10.9
"1911-07",-11.9
"1911-08",-11.3
"1911-09",-8.3
"1911-10",-11.6
"1911-11",-7.2
"1911-12",-2.7
"1912-01",-10.3
"1912-02",-19
"1912-03",-8.9
"1912-04",-19.1
"1912-05",-11.5
"1912-06",-6
"1912-07",-0.4
"1912-08",-7
"1912-09",-3.6
"1912-10",-7.9
"1912-11",2.3
"1912-12",-9.4
"1913-01",-4.1
"1913-02",-6.2
"1913-03",0.2
"1913-04",-6
"1913-05",-7.1
"1913-06",-3.9
"1913-07",-1.6
"1913-08",-7
"1913-09",-8.8
"1913-10",-9.1
"1913-11",-11.6
"1913-12",-8.3
"1914-01",-6
"1914-02",1.2
"1914-03",7.4
"1914-10",-8.5
"1915-11",-14.2
"1915-12",8.5
"1916-01",5
"1916-02",-4.7
"1916-03",-6.5
"1916-04",-0.8
"1916-05",6.9
"1916-06",7.2
"1916-07",23.8
"1916-08",15.4
"1916-09",4.6
"1916-10",6.6
"1916-11",9.3
"1916-12",14.1
"1917-01",4.5
"1917-02",9.6
"1917-03",15.1
"1917-04",18.9
"1917-05",21
"1917-06",17.7
"1917-07",26.3
"1917-08",33.1
"1917-09",29.2
"1917-10",16.1
"1917-11",20.1
"1917-12",21.2
"1918-01",14.1
"1918-02",16.5
"1918-03",-2.7
"1918-04",14.5
"1918-05",9.9
"1918-06",-4.6
"1918-07",-13.1
"1918-08",-4
"1918-09",-7.7
"1918-10",-4.7
"1918-11",1.1
"1918-12",-9.4
"1919-01",-15.6
"1919-02",-12.6
"1919-03",-12.3
"1919-04",-3
"1919-05",-6.3
"1919-06",-9.5
"1919-07",-8.2
"1919-08",-6.4
"1919-09",-5.3
"1919-10",-10.4
"1919-11",-11
"1919-12",-10.4
"1920-01",1.2
"1920-02",-2.7
"1920-03",-4.6
"1920-04",-0.1
"1920-05",-1.9
"1920-06",5.1
"1920-07",8.7
"1920-08",5.1
"1920-09",5.2
"1920-10",-4.1
"1920-11",-0.2
"1920-12",8.5
"1921-01",10.3
"1921-02",6.2
"1921-07",2.7
"1921-08",-6.4
"1921-09",5.2
"1921-10",10.4
"1921-11",8
"1921-12",6.9
"1922-01",7.4
"1922-02",8.6
"1922-03",4.1
"1922-04",-5.2
"1922-05",-4.1
"1922-06",4.5
"1922-07",2
"1922-08",-1
"1922-09",5.2
"1922-10",6.6
"1922-11",8
"1922-12",10.5
"1923-01",5
"1923-02",3.7
"1923-03",7
"1923-04",7.2
"1923-05",2.5
"1923-06",0.3
"1923-07",-10.7
"1923-08",-17.4
"1923-09",-14.1
"1923-10",-6
"1923-11",-12.3
"1923-12",0.8
"1924-01",-6
"1924-02",0.3
"1924-03",1.2
"1924-04",-14
"1924-05",11.4
"1924-06",6.5
"1924-07",6.9
"1924-08",10
"1924-09",8.1
"1924-10",8.5
"1924-11",11.2
"1924-12",3.9
"1925-01",5
"1925-02",13.6
"1925-03",12.2
"1925-04",12.3
"1925-05",-0.4
"1925-06",-4.6
"1925-07",-12.5
"1925-08",-10.1
"1925-09",-5.9
"1925-10",-12.9
"1925-11",-9.1
"1925-12",-8.3
"1926-01",-6
"1926-02",-16
"1926-03",-12.8
"1926-04",-6.7
"1926-05",-1.9
"1926-06",-6.7
"1926-07",-1
"1926-08",-7
"1926-09",1.7
"1926-10",4.7
"1926-11",1.1
"1926-12",4.9
"1927-01",4.5
"1927-02",0.3
"1927-03",15.1
"1927-04",5.7
"1927-05",6.2
"1927-09",-0.1
"1927-10",-4.1
"1927-11",-7.8
"1927-12",6.4
"1928-01",-10.8
"1928-02",10.1
"1928-03",11.3
"1928-04",10.1
"1928-05",-1.9
"1928-06",-7.4
"1928-07",-0.4
"1928-08",9.4
"1928-09",8.1
"1928-10",9.8
"1928-11",2.3
"1928-12",10.5
"1929-01",15.6
"1929-02",18
"1929-03",3.6
"1929-04",3.5
"1929-05",-10.7
"1929-06",0.3
"1929-07",1.4
"1929-08",0.3
"1929-09",-0.1
"1929-10",8.5
"1929-11",10.6
"1929-12",4.4
"1930-01",12.2
"1930-02",7.2
"1930-03",0.7
"1930-04",-3.8
"1930-05",2.5
"1930-06",-5.3
"1930-07",-4
"1930-08",-1.6
"1930-09",-6.5
"1930-10",4.1
"1930-11",1.7
"1930-12",-2.7
"1931-01",6.4
"1931-02",-16.5
"1931-03",4.1
"1931-04",7.2
"1931-05",12.8
"1931-06",15.6
"1931-07",8.7
"1932-09",-8.3
"1932-10",-4.1
"1932-11",-4.6
"1932-12",1.8
"1933-01",-11.8
"1933-02",4.2
"1933-03",-2.7
"1933-04",2.8
"1933-05",6.2
"1933-06",-3.9
"1933-07",3.3
"1933-08",-0.3
"1933-09",2.3
"1933-10",4.1
"1933-11",6.8
"1933-12",6.9
"1934-01",6
"1934-02",-0.7
"1934-03",-0.7
"1934-04",5
"1934-05",-6.3
"1934-06",8.6
"1934-07",2.7
"1934-08",-21
"1934-09",-5.9
"1934-10",4.7
"1934-11",12.5
"1934-12",-3.8
"1935-01",6
"1935-02",-5.7
"1935-03",9.8
"1935-04",2.1
"1935-05",-5.6
"1935-06",-2.5
"1935-07",-0.4
"1935-08",2.1
"1935-09",6.4
"1935-10",7.9
"1935-11",3.6
"1935-12",-5.3
"1936-01",-2.7
"1936-02",-0.2
"1936-03",0.7
"1936-04",19.6
"1936-05",4.7
"1936-06",-1.8
"1936-07",3.9
"1936-08",-8.2
"1936-09",2.9
"1936-10",0.3
"1936-11",-13.5
"1936-12",-0.7
"1937-01",8.8
"1937-02",-6.2
"1937-03",4.5
"1937-04",1.3
"1937-05",0.3
"1937-06",2.4
"1937-07",-5.2
"1937-08",3.3
"1937-09",1.1
"1937-10",-2.2
"1937-11",-2.1
"1937-12",5.4
"1938-01",6.9
"1938-02",2.7
"1938-03",-4.1
"1938-04",2.8
"1938-05",12.8
"1938-06",14.9
"1938-07",17.2
"1938-08",12.4
"1938-09",7.6
"1938-10",13.6
"1938-11",1.7
"1938-12",12.5
"1939-01",16.5
"1939-02",7.2
"1939-03",9.4
"1939-04",7.9
"1939-05",-0.4
"1939-06",-1.8
"1939-07",7.5
"1939-08",-0.3
"1939-09",-8.8
"1939-10",-14.8
"1939-11",-7.8
"1939-12",-9.9
"1940-01",-0.8
"1940-02",-5.2
"1940-03",-10.4
"1940-04",-8.9
"1940-05",-13
"1940-06",-17.2
"1940-07",-14.3
"1940-08",-17.4
"1940-09",-18.8
"1940-10",-18.6
"1940-11",-6.5
"1940-12",-30.7
"1941-01",-10.3
"1941-02",-17
"1941-03",-10.4
"1941-04",-10.4
"1941-05",-5.6
"1941-06",-13
"1941-07",-19.1
"1941-08",-18
"1941-09",-7.7
"1941-10",-20.5
"1941-11",-9.1
"1941-12",-9.9
"1942-01",-13.7
"1942-02",-4.7
"1942-03",-6
"1942-04",-5.2
"1942-05",5.5
"1942-06",6.5
"1942-07",-1
"1942-08",3.9
"1942-09",8.7
"1942-10",9.2
"1942-11",-4
"1942-12",12.5
"1943-01",8.8
"1943-02",10.1
"1943-03",2.6
"1943-04",11.6
"1943-05",3.3
"1943-06",-7.4
"1943-07",2.7
"1943-08",7.5
"1943-09",5.8
"1943-10",9.8
"1943-11",3.6
"1943-12",-9.9
"1944-01",-8.9
"1944-02",3.2
"1944-03",4.1
"1944-04",-5.2
"1944-05",-0.4
"1944-06",-3.9
"1944-07",-8.2
"1944-08",3.3
"1944-09",2.9
"1944-10",-8.5
"1944-11",-6.5
"1944-12",2.9
"1945-01",4.5
"1945-02",5.7
"1945-03",10.8
"1945-04",-6.7
"1945-05",0.3
"1945-06",6.5
"1945-07",3.3
"1945-08",11.2
"1945-09",8.7
"1945-10",2.9
"1945-11",-3.4
"1945-12",5.4
"1946-01",-3.1
"1946-02",3.7
"1946-03",-2.7
"1946-04",-8.9
"1946-05",-10
"1946-06",-8.8
"1946-07",-9.5
"1946-08",-4
"1946-09",-15.3
"1946-10",-12.3
"1946-11",-1.5
"1946-12",-6.8
"1947-01",-5.5
"1947-02",-5.2
"1947-03",9.4
"1947-04",-4.5
"1947-05",-12.2
"1947-06",1.7
"1947-07",8.7
"1947-08",6.9
"1947-09",11.7
"1947-10",-1.6
"1947-11",8.7
"1947-12",3.9
"1948-01",-3.6
"1948-02",-3.7
"1948-03",-4.6
"1948-04",2.1
"1948-05",4
"1948-06",-4.6
"1948-07",0.8
"1948-08",-4
"1948-09",-7.1
"1948-10",6.6
"1948-11",4.2
"1948-12",-6.8
"1949-01",-7.9
"1949-02",1.2
"1949-03",4.1
"1949-04",0.6
"1949-05",-4.8
"1949-06",-10.9
"1949-07",-1.6
"1949-08",-4
"1949-09",2.3
"1949-10",6
"1949-11",-5.9
"1949-12",6.4
"1950-01",4.5
"1950-02",17
"1950-03",14.6
"1950-04",13.8
"1950-05",7.7
"1950-06",22.6
"1950-07",19.6
"1950-08",11.8
"1950-09",7
"1950-10",18
"1950-11",11.8
"1950-12",21.7
"1951-01",12.7
"1951-02",5.7
"1951-03",-5.5
"1951-04",-7.4
"1951-05",-11.5
"1951-06",-1.8
"1951-07",-12.5
"1951-08",-5.2
"1951-09",-11.2
"1951-10",-12.3
"1951-11",-8.5
"1951-12",-8.3
"1952-01",-8.9
"1952-02",-8.1
"1952-03",0.2
"1952-04",-6.7
"1952-05",7.7
"1952-06",5.8
"1952-07",4.5
"1952-08",-2.2
"1952-09",-1.8
"1952-10",3.5
"1952-11",0.4
"1952-12",-12.9
"1953-01",1.6
"1953-02",-7.1
"1953-03",-6
"1953-04",-0.8
"1953-05",-25.5
"1953-06",-2.5
"1953-07",-1
"1953-08",-16.1
"1953-09",-13
"1953-10",-0.3
"1953-11",-2.7
"1953-12",-5.8
"1954-01",5
"1954-02",-5.2
"1954-03",-2.2
"1954-04",5
"1954-05",4
"1954-06",-2.5
"1954-07",3.3
"1954-08",9.4
"1954-09",2.3
"1954-10",2.2
"1954-11",2.3
"1954-12",11.5
"1955-01",-5.5
"1955-02",14.6
"1955-03",1.2
"1955-04",-5.2
"1955-05",11.4
"1955-06",12.8
"1955-07",16.6
"1955-08",13.6
"1955-09",14.6
"1955-10",16.7
"1955-11",15
"1955-12",7.9
"1956-01",10.8
"1956-02",12.1
"1956-03",7.4
"1956-04",8.7
"1956-05",16.5
"1956-06",10
"1956-07",11.1
"1956-08",10.6
"1956-09",1.1
"1956-10",19.9
"1956-11",2.3
"1956-12",8.5
"1957-01",4.5
"1957-02",-3.2
"1957-03",-2.7
"1957-04",-0.1
"1957-05",-11.5
"1957-06",-1.8
"1957-07",1.4
"1957-08",-8.2
"1957-09",-9.4
"1957-10",-0.3
"1957-11",-11
"1957-12",-4.3
"1958-01",-17.5
"1958-02",-7.1
"1958-03",-2.2
"1958-04",1.3
"1958-05",-9.3
"1958-06",-0.4
"1958-07",3.3
"1958-08",7.5
"1958-09",-3
"1958-10",-0.3
"1958-11",-4.6
"1958-12",-7.3
"1959-01",-8.9
"1959-02",-15
"1959-03",7
"1959-04",4.3
"1959-05",4
"1959-06",-5.3
"1959-07",-4
"1959-08",-4
"1959-09",0.5
"1959-10",4.7
"1959-11",11.2
"1959-12",6.9
"1960-01",0.2
"1960-02",-1.7
"1960-03",4.5
"1960-04",7.2
"1960-05",4.7
"1960-06",-2.5
"1960-07",4.5
"1960-08",6.3
"1960-09",7.6
"1960-10",0.3
"1960-11",6.8
"1960-12",5.9
"1961-01",-3.1
"1961-02",5.7
"1961-03",-20.5
"1961-04",7.9
"1961-05",1.8
"1961-06",-2.5
"1961-07",-0.4
"1961-08",-0.3
"1961-09",1.1
"1961-10",-4.7
"1961-11",6.8
"1961-12",12.5
"1962-01",16.5
"1962-02",-5.2
"1962-03",-3.1
"1962-04",-0.8
"1962-05",12.1
"1962-06",5.1
"1962-07",-0.4
"1962-08",4.5
"1962-09",5.2
"1962-10",10.4
"1962-11",4.2
"1962-12",0.3
"1963-01",8.4
"1963-02",2.7
"1963-03",5.5
"1963-04",7.2
"1963-05",2.5
"1963-06",-10.2
"1963-07",-2.2
"1963-08",-2.8
"1963-09",-5.9
"1963-10",-14.8
"1963-11",-9.1
"1963-12",-12.9
"1964-01",-4.1
"1964-02",-2.2
"1964-03",5.5
"1964-04",1.3
"1964-05",6.9
"1964-06",5.8
"1964-07",5.1
"1964-08",14.2
"1964-09",14
"1964-10",14.2
"1964-11",2.3
"1964-12",-4.3
"1965-01",-4.6
"1965-02",1.2
"1965-03",2.1
"1965-04",-10.4
"1965-05",-0.4
"1965-06",-10.9
"1965-07",-21
"1965-08",-10.1
"1965-09",-13.5
"1965-10",-11
"1965-11",-16.7
"1965-12",0.3
"1966-01",-12.7
"1966-02",-4.7
"1966-03",-12.8
"1966-04",-6
"1966-05",-7.8
"1966-06",0.3
"1966-07",-0.4
"1966-08",4.5
"1966-09",-1.8
"1966-10",-2.2
"1966-11",0.4
"1966-12",-4.8
"1967-01",14.1
"1967-02",12.6
"1967-03",6.5
"1967-04",-3.8
"1967-05",-2.6
"1967-06",4.5
"1967-07",0.8
"1967-08",5.7
"1967-09",5.8
"1967-10",-0.3
"1967-11",-4.6
"1967-12",-6.8
"1968-01",3.6
"1968-02",9.1
"1968-03",-3.6
"1968-04",-3
"1968-05",14.3
"1968-06",10
"1968-07",6.3
"1968-08",0.3
"1968-09",-2.4
"1968-10",-1.6
"1968-11",-3.4
"1968-12",0.3
"1969-01",-14.2
"1969-02",-7.6
"1969-03",-0.7
"1969-04",-8.2
"1969-05",-5.6
"1969-06",-1.1
"1969-07",-6.4
"1969-08",-4
"1969-09",-10
"1969-10",-11.6
"1969-11",-0.2
"1969-12",2.3
"1970-01",-10.8
"1970-02",-12.1
"1970-03",0.7
"1970-04",-4.5
"1970-05",2.5
"1970-06",8.6
"1970-07",-5.2
"1970-08",3.9
"1970-09",12.8
"1970-10",11
"1970-11",18.8
"1970-12",16.1
"1971-01",2.1
"1971-02",15.5
"1971-03",16.1
"1971-04",19.6
"1971-05",9.2
"1971-06",1.7
"1971-07",1.4
"1971-08",14.2
"1971-09",15.8
"1971-10",18.6
"1971-11",6.8
"1971-12",0.8
"1972-01",3.1
"1972-02",7.2
"1972-03",1.2
"1972-04",-5.2
"1972-05",-24
"1972-06",-10.9
"1972-07",-17.3
"1972-08",-8.2
"1972-09",-14.1
"1972-10",-11
"1972-11",-3.4
"1972-12",-13.4
"1973-01",-3.6
"1973-02",-15
"1973-03",-0.3
"1973-04",-2.3
"1973-05",3.3
"1973-06",10
"1973-07",5.7
"1973-08",11.8
"1973-09",13.4
"1973-10",10.4
"1973-11",31.5
"1973-12",15.6
"1974-01",20.3
"1974-02",16
"1974-03",17
"1974-04",9.4
"1974-05",10.6
"1974-06",1.7
"1974-07",11.1
"1974-08",6.3
"1974-09",12.2
"1974-10",9.2
"1974-11",-1.5
"1974-12",0.3
"1975-01",-6
"1975-02",4.7
"1975-03",9.4
"1975-04",12.3
"1975-05",6.2
"1975-06",12.8
"1975-07",19.6
"1975-08",19.7
"1975-09",22.2
"1975-10",18.6
"1975-11",13.1
"1975-12",17.6
"1976-01",11.2
"1976-02",12.6
"1976-03",10.8
"1976-04",0.6
"1976-05",2.5
"1976-06",0.3
"1976-07",-11.9
"1976-08",-11.3
"1976-09",-12.4
"1976-10",3.5
"1976-11",9.3
"1976-12",-20
"1977-01",-4.1
"1977-02",8.6
"1977-03",-9.4
"1977-04",-8.2
"1977-05",-9.3
"1977-06",-15.8
"1977-07",-13.7
"1977-08",-11.3
"1977-09",-8.8
"1977-10",-12.9
"1977-11",-14.2
"1977-12",-11.4
"1978-01",-3.6
"1978-02",-26.9
"1978-03",-6
"1978-04",-7.4
"1978-05",15.8
"1978-06",4.5
"1978-07",5.1
"1978-08",2.1
"1978-09",1.1
"1978-10",-5.3
"1978-11",-2.1
"1978-12",-2.2
"1979-01",-4.6
"1979-02",6.2
"1979-03",-3.6
"1979-04",-5.2
"1979-05",4
"1979-06",4.5
"1979-07",13.6
"1979-08",-4.6
"1979-09",1.7
"1979-10",-2.2
"1979-11",-4.6
"1979-12",-8.3
"1980-01",2.6
"1980-02",0.3
"1980-03",-8.4
"1980-04",-11.8
"1980-05",-2.6
"1980-06",-3.9
"1980-07",-1.6
"1980-08",1.5
"1980-09",-4.7
"1980-10",-0.9
"1980-11",-3.4
"1980-12",-2.2
"1981-01",2.1
"1981-02",-4.2
"1981-03",-15.6
"1981-04",-5.2
"1981-05",8.4
"1981-06",12.1
"1981-07",8.1
"1981-08",5.1
"1981-09",6.4
"1981-10",-5.3
"1981-11",2.3
"1981-12",3.4
"1982-01",8.8
"1982-02",-0.2
"1982-03",0.7
"1982-04",-2.3
"1982-05",-7.1
"1982-06",-17.2
"1982-07",-17.9
"1982-08",-22.2
"1982-09",-20
"1982-10",-20.5
"1982-11",-30
"1982-12",-22.6
"1983-01",-31.4
"1983-02",-35.7
"1983-03",-25.7
"1983-04",-15.5
"1983-05",5.5
"1983-06",-3.2
"1983-07",-7
"1983-08",0.9
"1983-09",9.9
"1983-10",4.7
"1983-11",-0.8
"1983-12",-1.2
"1984-01",0.7
"1984-02",5.2
"1984-03",-6.5
"1984-04",1.3
"1984-05",0.3
"1984-06",-8.1
"1984-07",0.8
"1984-08",2.1
"1984-09",2.3
"1984-10",-4.7
"1984-11",3.6
"1984-12",-2.7
"1985-01",-4.6
"1985-02",6.2
"1985-03",-2.7
"1985-04",12.3
"1985-05",3.3
"1985-06",-8.8
"1985-07",-2.2
"1985-08",8.2
"1985-09",0.5
"1985-10",-5.3
"1985-11",-1.5
"1985-12",0.8
"1986-01",7.4
"1986-02",-12.1
"1986-03",-0.3
"1986-04",0.6
"1986-05",-5.6
"1986-06",8.6
"1986-07",2
"1986-08",-7
"1986-09",-4.7
"1986-10",6.6
"1986-11",-13.5
"1986-12",-15
"1987-01",-7
"1987-02",-14
"1987-03",-15.6
"1987-04",-22.1
"1987-05",-19.6
"1987-06",-17.9
"1987-07",-17.3
"1987-08",-13.1
"1987-09",-10.6
"1987-10",-5.3
"1987-11",-1.5
"1987-12",-5.8
"1988-01",-1.7
"1988-02",-6.2
"1988-03",1.2
"1988-04",-3
"1988-05",9.9
"1988-06",-3.9
"1988-07",10.5
"1988-08",14.2
"1988-09",18.7
"1988-10",15.5
"1988-11",22
"1988-12",9.5
"1989-01",12.7
"1989-02",8.6
"1989-03",5.5
"1989-04",16.7
"1989-05",14.3
"1989-06",5.8
"1989-07",8.7
"1989-08",-5.8
"1989-09",5.8
"1989-10",7.9
"1989-11",-2.1
"1989-12",-5.8
"1990-01",-1.9
"1990-02",-18.4
"1990-03",-8.2
"1990-04",-0.7
"1990-05",13.6
"1990-06",0
"1990-07",5.2
"1990-08",-4.4
"1990-09",-7.3
"1990-10",-1.2
"1990-11",-5
"1990-12",-3.2
"1991-01",4.2
"1991-02",-0.2
"1991-03",-10.1
"1991-04",-11.5
"1991-05",-17.9
"1991-06",-5.5
"1991-07",-1.5
"1991-08",-6.8
"1991-09",-16.2
"1991-10",-13.5
"1991-11",-6.9
"1991-12",-18.3
"1992-01",-26
"1992-02",-10.3
"1992-03",-22.2
"1992-04",-16.5
"1992-05",1.3
"1992-06",-11.9
"1992-07",-6.5
"1992-08",1.7
"1992-09",1.1
"1992-10",-10.4
"1992-11",-7
"1992-12",-7
"1993-01",-10
"1993-02",-8
"1993-03",-10
"1993-04",-19
"1993-05",-10

Monthly Southern oscillation index measured as the difference in sea-surface air pressure between Darwin and Tahiti. Jan 1882 ? May 1993.

