"Month","Monthly reported number of cases of measles, New York city, 1928-1972"
"1938-09",75
"1938-10",56
"1938-11",110
"1938-12",171
"1939-01",224
"1939-02",219
"1939-03",361
"1939-04",517
"1939-05",969
"1939-06",738
"1939-07",274
"1939-08",110
"1939-09",36
"1939-10",54
"1939-11",60
"1939-12",91
"1940-01",90
"1940-02",207
"1940-03",268
"1940-04",533
"1940-05",1365
"1940-06",1906
"1940-07",1269
"1940-08",307
"1940-09",151
"1940-10",354
"1940-11",1050
"1940-12",2996
"1941-01",6336
"1941-02",13226
"1941-03",25826
"1941-04",22741
"1941-05",8195
"1941-06",2527
"1941-07",436
"1941-08",100
"1941-09",63
"1941-10",67
"1941-11",55
"1941-12",74
"1942-01",137
"1942-02",169
"1942-03",233
"1942-04",404
"1942-05",557
"1942-06",387
"1942-07",127
"1942-08",60
"1942-09",34
"1942-10",45
"1942-11",49
"1942-12",59
"1943-01",232
"1943-02",877
"1943-03",2174
"1943-04",3855
"1943-05",5724
"1943-06",5760
"1943-07",1759
"1943-08",453
"1943-09",142
"1943-10",300
"1943-11",676
"1943-12",1675
"1944-01",2567
"1944-02",5242
"1944-03",8498
"1944-04",5458
"1944-05",2779
"1944-06",1151
"1944-07",182
"1944-08",63
"1944-09",21
"1944-10",26
"1944-11",30
"1944-12",31
"1945-01",60
"1945-02",82
"1945-03",171
"1945-04",207
"1945-05",221
"1945-06",358
"1945-07",194
"1945-08",68
"1945-09",18
"1945-10",79
"1945-11",181
"1945-12",231
"1946-01",809
"1946-02",2022
"1946-03",5014
"1946-04",6597
"1946-05",4759
"1946-06",2191
"1946-07",596
"1946-08",107
"1946-09",68
"1946-10",56
"1946-11",75
"1946-12",114
"1947-01",254
"1947-02",379
"1947-03",669
"1947-04",1141
"1947-05",1682
"1947-06",1613
"1947-07",854
"1947-08",202
"1947-09",88
"1947-10",174
"1947-11",234
"1947-12",625
"1948-01",1709
"1948-02",3319
"1948-03",6807
"1948-04",6909
"1948-05",5481
"1948-06",3548
"1948-07",802
"1948-08",159
"1948-09",64
"1948-10",32
"1948-11",47
"1948-12",83
"1949-01",169
"1949-02",390
"1949-03",629
"1949-04",693
"1949-05",1008
"1949-06",960
"1949-07",454
"1949-08",234
"1949-09",133
"1949-10",100
"1949-11",214
"1949-12",483
"1950-01",1055
"1950-02",1930
"1950-03",3776
"1950-04",4777
"1950-05",5428
"1950-06",3440
"1950-07",1012
"1950-08",232
"1950-09",73
"1950-10",89
"1950-11",90
"1950-12",88
"1951-01",282
"1951-02",381
"1951-03",549
"1951-04",1079
"1951-05",1915
"1951-06",1770
"1951-07",948
"1951-08",380
"1951-09",184
"1951-10",246
"1951-11",515
"1951-12",1360
"1952-01",3707
"1952-02",6441
"1952-03",8616
"1952-04",7754
"1952-05",4945
"1952-06",2288
"1952-07",478
"1952-08",75
"1952-09",40
"1952-10",68
"1952-11",57
"1952-12",146
"1953-01",224
"1953-02",246
"1953-03",334
"1953-04",518
"1953-05",645
"1953-06",600
"1953-07",522
"1953-08",215
"1953-09",164
"1953-10",209
"1953-11",318
"1953-12",1122
"1954-01",2443
"1954-02",4876
"1954-03",10154
"1954-04",10720
"1954-05",6136
"1954-06",4699
"1954-07",1335
"1954-08",249
"1954-09",63
"1954-10",59
"1954-11",115
"1954-12",188
"1955-01",364
"1955-02",603
"1955-03",1305
"1955-04",1853
"1955-05",1865
"1955-06",1797
"1955-07",760
"1955-08",245
"1955-09",103
"1955-10",98
"1955-11",242
"1955-12",477
"1956-01",594
"1956-02",1242
"1956-03",2461
"1956-04",4336
"1956-05",6064
"1956-06",4247
"1956-07",1419
"1956-08",441
"1956-09",110
"1956-10",169
"1956-11",188
"1956-12",375
"1957-01",823
"1957-02",789
"1957-03",949
"1957-04",1287
"1957-05",1949
"1957-06",1840
"1957-07",845
"1957-08",335
"1957-09",176
"1957-10",170
"1957-11",231
"1957-12",832
"1958-01",1878
"1958-02",3544
"1958-03",6410
"1958-04",7634
"1958-05",4832
"1958-06",2594
"1958-07",893
"1958-08",204
"1958-09",86
"1958-10",58
"1958-11",47
"1958-12",92
"1959-01",199
"1959-02",323
"1959-03",537
"1959-04",683
"1959-05",716
"1959-06",753
"1959-07",567
"1959-08",174
"1959-09",144
"1959-10",97
"1959-11",187
"1959-12",837
"1960-01",2070
"1960-02",4097
"1960-03",6780
"1960-04",6492
"1960-05",3387
"1960-06",1822
"1960-07",469
"1960-08",129
"1960-09",51
"1960-10",43
"1960-11",78
"1960-12",105
"1961-01",227
"1961-02",298
"1961-03",374
"1961-04",384
"1961-05",644
"1961-06",683
"1961-07",343
"1961-08",185
"1961-09",109
"1961-10",123
"1961-11",383
"1961-12",1043
"1962-01",1725
"1962-02",3056
"1962-03",5839
"1962-04",7875
"1962-05",6555
"1962-06",2866
"1962-07",1075
"1962-08",266
"1962-09",58
"1962-10",86
"1962-11",125
"1962-12",145
"1963-01",184
"1963-02",260
"1963-03",476
"1963-04",782
"1963-05",1200
"1963-06",1289
"1963-07",901
"1963-08",362
"1963-09",168
"1963-10",221
"1963-11",423
"1963-12",1140
"1964-01",2053
"1964-02",2267
"1964-03",2859
"1964-04",3338
"1964-05",2578
"1964-06",1486
"1964-07",427
"1964-08",120
"1964-09",49
"1964-10",59
"1964-11",50
"1964-12",149
"1965-01",120
"1965-02",126
"1965-03",150
"1965-04",354
"1965-05",419
"1965-06",656
"1965-07",331
"1965-08",174
"1965-09",83
"1965-10",120
"1965-11",395
"1965-12",1199
"1966-01",1635
"1966-02",1965
"1966-03",2349
"1966-04",1253
"1966-05",655
"1966-06",244
"1966-07",109
"1966-08",59
"1966-09",24
"1966-10",34
"1966-11",30
"1966-12",24
"1967-01",39
"1967-02",52
"1967-03",57
"1967-04",78
"1967-05",83
"1967-06",79
"1967-07",35
"1967-08",28
"1967-09",18
"1967-10",11
"1967-11",27
"1967-12",22
"1968-01",39
"1968-02",70
"1968-03",146
"1968-04",292
"1968-05",494
"1968-06",441
"1968-07",347
"1968-08",225
"1968-09",97
"1968-10",91
"1968-11",98
"1968-12",105
"1969-01",278
"1969-02",384
"1969-03",768
"1969-04",1301
"1969-05",1019
"1969-06",788
"1969-07",267
"1969-08",76
"1969-09",31
"1969-10",39
"1969-11",36
"1969-12",46
"1970-01",70
"1970-02",106
"1970-03",133
"1970-04",185
"1970-05",154
"1970-06",109
"1970-07",65
"1970-08",39
"1970-09",40
"1970-10",52
"1970-11",58
"1970-12",143
"1971-01",283
"1971-02",557
"1971-03",818
"1971-04",844
"1971-05",501
"1971-06",472
"1971-07",206
"1971-08",60
"1971-09",23
"1971-10",22
"1971-11",12
"1971-12",21
"1972-01",28
"1972-02",35
"1972-03",40
"1972-04",31
"1972-05",41
"1972-06",32

Monthly reported number of cases of measles, New York city, 1928-1972

