"Month","Monthly production of Portland cement: thousands of tonnes. Jan 1956 ? Aug 1995"
"1976-10",443
"1976-11",436
"1976-12",411
"1977-01",282
"1977-02",409
"1977-03",410
"1977-04",434
"1977-05",421
"1977-06",429
"1977-07",461
"1977-08",430
"1977-09",430
"1977-10",432
"1977-11",472
"1977-12",413
"1978-01",278
"1978-02",421
"1978-03",423
"1978-04",421
"1978-05",432
"1978-06",408
"1978-07",397
"1978-08",438
"1978-09",477
"1978-10",436
"1978-11",455
"1978-12",407
"1979-01",295
"1979-02",429
"1979-03",478
"1979-04",389
"1979-05",456
"1979-06",457
"1979-07",468
"1979-08",453
"1979-09",456
"1979-10",461
"1979-11",476
"1979-12",422
"1980-01",309
"1980-02",474
"1980-03",449
"1980-04",448
"1980-05",481
"1980-06",457
"1980-07",495
"1980-08",502
"1980-09",443
"1980-10",479
"1980-11",512
"1980-12",448
"1981-01",312
"1981-02",447
"1981-03",523
"1981-04",538
"1981-05",576
"1981-06",459
"1981-07",485
"1981-08",570
"1981-09",478
"1981-10",623
"1981-11",529
"1981-12",499
"1982-01",351
"1982-02",467
"1982-03",529
"1982-04",523
"1982-05",555
"1982-06",497
"1982-07",539
"1982-08",473
"1982-09",463
"1982-10",479
"1982-11",458
"1982-12",420
"1983-01",268
"1983-02",389
"1983-03",429
"1983-04",348
"1983-05",389
"1983-06",421
"1983-07",410
"1983-08",419
"1983-09",450
"1983-10",433
"1983-11",446
"1983-12",434
"1984-01",244
"1984-02",451
"1984-03",471
"1984-04",408
"1984-05",503
"1984-06",462
"1984-07",482
"1984-08",503
"1984-09",471
"1984-10",488
"1984-11",553
"1984-12",455
"1985-01",330
"1985-02",444
"1985-03",477
"1985-04",447
"1985-05",529
"1985-06",480
"1985-07",514
"1985-08",594
"1985-09",523
"1985-10",570
"1985-11",527
"1985-12",457
"1986-01",336
"1986-02",503
"1986-03",508
"1986-04",516
"1986-05",513
"1986-06",487
"1986-07",537
"1986-08",488
"1986-09",521
"1986-10",546
"1986-11",529
"1986-12",489
"1987-01",347
"1987-02",482
"1987-03",504
"1987-04",490
"1987-05",499
"1987-06",469
"1987-07",505
"1987-08",485
"1987-09",509
"1987-10",556
"1987-11",525
"1987-12",532
"1988-01",362
"1988-02",509
"1988-03",545
"1988-04",500
"1988-05",538
"1988-06",587
"1988-07",556
"1988-08",604
"1988-09",610
"1988-10",584
"1988-11",613
"1988-12",594
"1989-01",415
"1989-02",586
"1989-03",621
"1989-04",529
"1989-05",595
"1989-06",595
"1989-07",641
"1989-08",678
"1989-09",653
"1989-10",659
"1989-11",686
"1989-12",548
"1990-01",431
"1990-02",520
"1990-03",624
"1990-04",449
"1990-05",608
"1990-06",587
"1990-07",549
"1990-08",565
"1990-09",544
"1990-10",584
"1990-11",576
"1990-12",508
"1991-01",350
"1991-02",470
"1991-03",523
"1991-04",471
"1991-05",534
"1991-06",436
"1991-07",495
"1991-08",486
"1991-09",463
"1991-10",535
"1991-11",532
"1991-12",430
"1992-01",370
"1992-02",450
"1992-03",487
"1992-04",484
"1992-05",504
"1992-06",513
"1992-07",526
"1992-08",539
"1992-09",473
"1992-10",519
"1992-11",552
"1992-12",498
"1993-01",404
"1993-02",510
"1993-03",536
"1993-04",508
"1993-05",605
"1993-06",546
"1993-07",558
"1993-08",572
"1993-09",518
"1993-10",594
"1993-11",644
"1993-12",539
"1994-01",407
"1994-02",497
"1994-03",564
"1994-04",515
"1994-05",625
"1994-06",592
"1994-07",659
"1994-08",661
"1994-09",642
"1994-10",614
"1994-11",615
"1994-12",604
"1995-01",455
"1995-02",552
"1995-03",619
"1995-04",538
"1995-05",583
"1995-06",582
"1995-07",568
"1995-08",586

Monthly production of Portland cement: thousands of tonnes. Jan 1956 ? Aug 1995

