"Year","Tree: Gulmarg, Kashmir. Himalayan Fir 2740m 3508 07430"
"1928",0.918
"1929",0.884
"1930",1.032
"1931",1.21
"1932",1.546
"1933",1.146
"1934",1.03
"1935",1.264
"1936",1.253
"1937",1.072
"1938",1.08
"1939",0.938
"1940",1.02
"1941",0.923
"1942",1.005
"1943",1.1
"1944",1.095
"1945",1.012
"1946",1.075
"1947",1.025
"1948",1.267
"1949",1.402
"1950",1.195
"1951",1.174
"1952",1.113
"1953",0.931
"1954",1.036
"1955",0.772
"1956",0.746
"1957",0.738
"1958",0.968
"1959",0.99
"1960",1.063
"1961",1.151
"1962",0.963
"1963",0.764
"1964",0.774
"1965",0.805
"1966",0.831
"1967",0.823
"1968",0.626
"1969",0.723
"1970",0.792
"1971",0.789
"1972",0.724
"1973",0.807
"1974",0.836
"1975",0.795
"1976",0.776
"1977",1.028
"1978",1.367
"1979",1.101
"1980",1.164

Tree: Gulmarg, Kashmir. Himalayan Fir 2740m 3508 07430

