"Year","Tree: Spruce Mountain, Nevada. Gt Basin B C Pine 3110m 4033-11449"
"482",1.43
"483",1.659
"484",1.706
"485",1.966
"486",1.847
"487",1.608
"488",1.069
"489",1.123
"490",1.225
"491",1.34
"492",2.064
"493",1.653
"494",2.126
"495",1.795
"496",1.282
"497",1.669
"498",2.083
"499",1.829
"500",1.154
"501",1.41
"502",1.122
"503",1.07
"504",1.116
"505",1.015
"506",0.899
"507",1.047
"508",1.007
"509",1.084
"510",1.294
"511",1.167
"512",0.94
"513",1.092
"514",0.916
"515",0.759
"516",0.937
"517",0.76
"518",0.928
"519",1.079
"520",0.819
"521",0.943
"522",1.066
"523",1.058
"524",1.068
"525",1.185
"526",1.054
"527",1.088
"528",0.547
"529",0.933
"530",0.851
"531",0.411
"532",0.806
"533",0.991
"534",1.086
"535",0.954
"536",0.565
"537",0.736
"538",1.318
"539",1.241
"540",1.129
"541",1.298
"542",1.084
"543",1.052
"544",1.2
"545",0.953
"546",0.884
"547",0.834
"548",1.073
"549",1.104
"550",1.17
"551",1.282
"552",1.238
"553",1.099
"554",0.941
"555",0.928
"556",1.166
"557",1.228
"558",1.013
"559",0.973
"560",1.39
"561",1.284
"562",1.027
"563",1.009
"564",0.962
"565",1.011
"566",0.865
"567",1.058
"568",0.944
"569",0.575
"570",0.97
"571",1.142
"572",0.932
"573",1.059
"574",0.88
"575",1.297
"576",0.557
"577",0.99
"578",0.839
"579",0.947
"580",0.609
"581",1.197
"582",1.006
"583",1.082
"584",1.004
"585",0.709
"586",1.501
"587",0.847
"588",0.78
"589",0.931
"590",1.31
"591",1.293
"592",1.266
"593",1.153
"594",1.427
"595",1.223
"596",0.877
"597",1.153
"598",1.106
"599",0.992
"600",0.86
"601",0.805
"602",0.888
"603",0.477
"604",1.275
"605",0.913
"606",0.712
"607",0.911
"608",0.912
"609",0.83
"610",0.743
"611",0.686
"612",0.908
"613",0.915
"614",0.998
"615",0.906
"616",0.449
"617",0.72
"618",0.999
"619",0.993
"620",0.943
"621",1.06
"622",1.011
"623",0.848
"624",0.887
"625",0.727
"626",0.916
"627",0.523
"628",1.108
"629",1.305
"630",1.027
"631",1.173
"632",1.217
"633",1.299
"634",1.417
"635",1.199
"636",1.104
"637",0.812
"638",1.021
"639",1.097
"640",0.967
"641",1.065
"642",1.322
"643",0.918
"644",0.743
"645",0.93
"646",1.085
"647",0.791
"648",0.794
"649",0.937
"650",1.012
"651",0.905
"652",1.068
"653",0.836
"654",1.068
"655",0.969
"656",0.982
"657",0.97
"658",0.98
"659",0.888
"660",0.896
"661",1.008
"662",0.857
"663",0.804
"664",0.783
"665",0.846
"666",1.044
"667",0.803
"668",1.025
"669",0.718
"670",0.746
"671",1.186
"672",0.934
"673",0.737
"674",1.169
"675",0.871
"676",0.985
"677",0.692
"678",1.07
"679",1.044
"680",1.269
"681",0.833
"682",1.319
"683",0.99
"684",0.973
"685",0.793
"686",1.15
"687",0.964
"688",1.02
"689",1.008
"690",1.038
"691",1.02
"692",1.028
"693",0.858
"694",0.776
"695",0.97
"696",0.795
"697",0.836
"698",0.706
"699",0.243
"700",0.969
"701",0.638
"702",0.915
"703",0.821
"704",1.116
"705",0.802
"706",0.601
"707",0.778
"708",0.896
"709",0.851
"710",0.809
"711",0.789
"712",0.849
"713",0.95
"714",1.054
"715",0.799
"716",0.949
"717",0.659
"718",1.068
"719",0.791
"720",0.595
"721",1.199
"722",0.816
"723",0.673
"724",1.057
"725",0.74
"726",0.656
"727",0.829
"728",0.831
"729",0.747
"730",0.941
"731",1.152
"732",0.928
"733",0.7
"734",0.891
"735",1.022
"736",0.793
"737",0.566
"738",0.889
"739",0.465
"740",0.842
"741",0.969
"742",0.84
"743",0.511
"744",1.1
"745",0.74
"746",0.713
"747",0.703
"748",0.772
"749",0.626
"750",0.851
"751",0.599
"752",0.636
"753",0.957
"754",0.633
"755",0.504
"756",0.829
"757",0.613
"758",0.721
"759",0.694
"760",0.851
"761",0.59
"762",0.715
"763",0.748
"764",0.802
"765",0.934
"766",0.77
"767",0.868
"768",0.835
"769",1.133
"770",0.827
"771",1.239
"772",1.037
"773",1.031
"774",0.851
"775",0.752
"776",0.983
"777",0.839
"778",0.992
"779",0.962
"780",0.827
"781",0.988
"782",0.913
"783",0.783
"784",1.018
"785",1.155
"786",1.214
"787",1.13
"788",1.095
"789",0.942
"790",1.037
"791",0.723
"792",0.791
"793",0.931
"794",0.995
"795",1.026
"796",0.872
"797",0.785
"798",0.778
"799",0.849
"800",0.847
"801",1.051
"802",0.964
"803",0.824
"804",0.939
"805",1.143
"806",0.699
"807",0.672
"808",0.958
"809",0.418
"810",0.609
"811",0.717
"812",0.771
"813",0.771
"814",0.798
"815",0.822
"816",0.659
"817",0.718
"818",0.968
"819",0.831
"820",0.73
"821",0.954
"822",1.12
"823",0.735
"824",0.596
"825",0.776
"826",0.737
"827",0.754
"828",0.864
"829",0.621
"830",0.713
"831",0.921
"832",0.925
"833",0.866
"834",1.023
"835",0.733
"836",0.982
"837",0.695
"838",0.746
"839",0.861
"840",1.355
"841",0.942
"842",1.503
"843",1.234
"844",0.767
"845",1.165
"846",1.071
"847",0.728
"848",0.899
"849",0.838
"850",1.022
"851",0.944
"852",0.755
"853",0.851
"854",0.924
"855",1.148
"856",1.011
"857",1.098
"858",1.159
"859",1.138
"860",0.768
"861",0.752
"862",0.657
"863",0.911
"864",0.802
"865",0.765
"866",0.859
"867",0.832
"868",0.396
"869",0.883
"870",1.117
"871",0.903
"872",0.78
"873",1.119
"874",0.876
"875",1.081
"876",0.993
"877",1
"878",1.187
"879",1.02
"880",0.787
"881",1.049
"882",0.714
"883",0.853
"884",0.981
"885",0.704
"886",0.757
"887",0.712
"888",0.856
"889",0.795
"890",0.842
"891",1.107
"892",1.136
"893",0.835
"894",1.29
"895",1.057
"896",1.407
"897",1.106
"898",1.132
"899",0.991
"900",0.753
"901",0.927
"902",0.952
"903",0.876
"904",0.972
"905",1.061
"906",0.827
"907",0.891
"908",1.063
"909",0.999
"910",0.938
"911",0.922
"912",0.992
"913",0.628
"914",0.812
"915",0.787
"916",0.778
"917",1.158
"918",0.941
"919",1.041
"920",0.897
"921",1.041
"922",1.013
"923",0.714
"924",0.888
"925",0.836
"926",1.021
"927",0.876
"928",0.955
"929",1.133
"930",0.968
"931",1.076
"932",1.085
"933",0.904
"934",0.931
"935",1.093
"936",1.152
"937",1.126
"938",1.218
"939",0.806
"940",1.027
"941",1.135
"942",0.884
"943",0.987
"944",0.805
"945",0.872
"946",0.818
"947",0.804
"948",0.724
"949",0.908
"950",0.929
"951",1.104
"952",1.008
"953",1.208
"954",0.977
"955",0.919
"956",1.16
"957",1.09
"958",1.144
"959",1.134
"960",1.185
"961",1.048
"962",1.004
"963",0.944
"964",0.832
"965",0.983
"966",0.861
"967",0.807
"968",0.959
"969",0.78
"970",0.93
"971",0.678
"972",0.829
"973",1.078
"974",0.987
"975",0.849
"976",0.757
"977",0.902
"978",1.104
"979",0.799
"980",0.737
"981",1.051
"982",0.84
"983",0.665
"984",0.829
"985",0.866
"986",1.107
"987",0.863
"988",0.827
"989",0.817
"990",0.577
"991",0.882
"992",0.636
"993",0.598
"994",0.808
"995",0.641
"996",0.768
"997",0.639
"998",0.455
"999",0.694
"1000",0.814
"1001",0.782
"1002",0.758
"1003",0.802
"1004",1.115
"1005",0.753
"1006",0.703
"1007",0.789
"1008",0.911
"1009",0.758
"1010",1.06
"1011",0.938
"1012",0.929
"1013",1.195
"1014",0.947
"1015",0.905
"1016",0.929
"1017",0.938
"1018",1.004
"1019",1.213
"1020",1.095
"1021",0.938
"1022",0.953
"1023",1.222
"1024",1.06
"1025",1.029
"1026",1.096
"1027",1.072
"1028",1.082
"1029",0.827
"1030",1.08
"1031",1.288
"1032",0.906
"1033",1.071
"1034",0.845
"1035",0.72
"1036",0.924
"1037",0.734
"1038",1.198
"1039",0.856
"1040",0.846
"1041",0.94
"1042",1.013
"1043",0.981
"1044",1.137
"1045",0.947
"1046",1.025
"1047",0.817
"1048",0.872
"1049",0.811
"1050",1.006
"1051",1.207
"1052",1.078
"1053",0.821
"1054",0.959
"1055",0.543
"1056",0.878
"1057",0.868
"1058",0.94
"1059",0.746
"1060",0.811
"1061",0.974
"1062",1.044
"1063",0.992
"1064",0.948
"1065",0.933
"1066",0.881
"1067",0.873
"1068",0.879
"1069",0.755
"1070",0.837
"1071",1.077
"1072",1.007
"1073",0.87
"1074",0.778
"1075",0.933
"1076",0.988
"1077",0.845
"1078",0.85
"1079",1.195
"1080",1.181
"1081",1.085
"1082",1.16
"1083",1.223
"1084",1.108
"1085",1.131
"1086",1.252
"1087",1.257
"1088",1.051
"1089",1.086
"1090",1.414
"1091",1.561
"1092",1.511
"1093",1.436
"1094",1.264
"1095",1.321
"1096",1.294
"1097",1.258
"1098",0.99
"1099",1.125
"1100",1.118
"1101",1.17
"1102",1.174
"1103",0.983
"1104",0.951
"1105",1.143
"1106",1.427
"1107",1.554
"1108",0.979
"1109",1.167
"1110",1.224
"1111",1.332
"1112",1.416
"1113",1.338
"1114",1.34
"1115",1.409
"1116",1.323
"1117",1.191
"1118",0.905
"1119",1.196
"1120",0.991
"1121",1.011
"1122",1.004
"1123",0.843
"1124",0.819
"1125",0.951
"1126",0.527
"1127",0.81
"1128",1.163
"1129",1.063
"1130",1.103
"1131",1.012
"1132",0.81
"1133",0.934
"1134",1.179
"1135",1.296
"1136",0.908
"1137",0.882
"1138",0.917
"1139",0.963
"1140",0.788
"1141",1.035
"1142",0.759
"1143",1.045
"1144",0.942
"1145",0.636
"1146",0.819
"1147",0.877
"1148",0.765
"1149",1.081
"1150",0.89
"1151",0.84
"1152",1.149
"1153",0.802
"1154",1.083
"1155",0.75
"1156",0.817
"1157",0.605
"1158",0.453
"1159",0.622
"1160",0.904
"1161",0.879
"1162",0.798
"1163",0.836
"1164",0.872
"1165",0.766
"1166",0.808
"1167",0.93
"1168",1.016
"1169",0.925
"1170",1.086
"1171",0.714
"1172",0.904
"1173",0.931
"1174",0.776
"1175",0.806
"1176",0.629
"1177",0.811
"1178",0.91
"1179",0.899
"1180",0.825
"1181",1.121
"1182",0.983
"1183",1.075
"1184",1.234
"1185",0.905
"1186",0.742
"1187",0.788
"1188",0.888
"1189",0.639
"1190",1.204
"1191",0.959
"1192",1.005
"1193",0.901
"1194",0.552
"1195",0.952
"1196",0.845
"1197",0.998
"1198",1.008
"1199",1.02
"1200",0.748
"1201",0.786
"1202",1.1
"1203",0.919
"1204",0.824
"1205",0.765
"1206",0.804
"1207",0.793
"1208",0.849
"1209",0.937
"1210",0.797
"1211",1.462
"1212",1.01
"1213",1.05
"1214",1.021
"1215",1
"1216",1
"1217",1.021
"1218",0.997
"1219",1.159
"1220",0.983
"1221",1.069
"1222",1.077
"1223",0.944
"1224",1.341
"1225",1.112
"1226",1.041
"1227",1.003
"1228",0.799
"1229",0.885
"1230",0.779
"1231",1.067
"1232",0.72
"1233",0.732
"1234",0.831
"1235",0.949
"1236",1.094
"1237",0.9
"1238",0.97
"1239",0.975
"1240",0.949
"1241",1.012
"1242",1.043
"1243",0.802
"1244",0.721
"1245",0.9
"1246",0.926
"1247",0.829
"1248",1.029
"1249",1.122
"1250",0.9
"1251",0.703
"1252",1.032
"1253",0.935
"1254",0.723
"1255",0.901
"1256",0.829
"1257",0.986
"1258",0.675
"1259",0.857
"1260",1.022
"1261",1.073
"1262",0.834
"1263",1.264
"1264",1.139
"1265",0.825
"1266",0.966
"1267",1.141
"1268",0.94
"1269",0.872
"1270",0.824
"1271",0.82
"1272",0.971
"1273",0.912
"1274",0.91
"1275",0.855
"1276",1.177
"1277",1.029
"1278",0.697
"1279",1.023
"1280",1.065
"1281",0.867
"1282",1.127
"1283",0.987
"1284",0.896
"1285",0.978
"1286",1.114
"1287",1.201
"1288",0.821
"1289",0.816
"1290",1.216
"1291",1.079
"1292",0.903
"1293",0.968
"1294",1.001
"1295",1.23
"1296",0.776
"1297",0.898
"1298",1.186
"1299",0.919
"1300",1.028
"1301",1.02
"1302",1.035
"1303",1.184
"1304",0.655
"1305",0.612
"1306",0.749
"1307",0.557
"1308",0.747
"1309",0.743
"1310",0.838
"1311",1.152
"1312",1.021
"1313",1.149
"1314",1.204
"1315",0.811
"1316",0.775
"1317",0.938
"1318",0.868
"1319",0.991
"1320",1.129
"1321",1.209
"1322",1.119
"1323",1.089
"1324",1.072
"1325",1.267
"1326",1.09
"1327",1.091
"1328",1.51
"1329",1.251
"1330",0.967
"1331",1.478
"1332",1.05
"1333",1.29
"1334",1.118
"1335",1.036
"1336",0.775
"1337",1.086
"1338",0.973
"1339",1.061
"1340",1.132
"1341",1.092
"1342",0.845
"1343",1.161
"1344",1.103
"1345",1.035
"1346",1.175
"1347",0.943
"1348",1.066
"1349",0.982
"1350",0.867
"1351",1.12
"1352",1.32
"1353",1.016
"1354",0.906
"1355",1.089
"1356",1.087
"1357",0.975
"1358",1.204
"1359",1.031
"1360",1.041
"1361",1.08
"1362",1.242
"1363",1.127
"1364",1.1
"1365",1.013
"1366",0.964
"1367",0.988
"1368",1.029
"1369",0.931
"1370",1.13
"1371",1.029
"1372",1.128
"1373",1.09
"1374",1.213
"1375",0.939
"1376",1.232
"1377",1.091
"1378",0.979
"1379",0.906
"1380",0.891
"1381",0.941
"1382",0.783
"1383",0.979
"1384",1.117
"1385",1.203
"1386",1.219
"1387",1.234
"1388",1.235
"1389",1.152
"1390",1.297
"1391",1.657
"1392",1.43
"1393",1.055
"1394",1.284
"1395",1.133
"1396",0.945
"1397",1.024
"1398",0.82
"1399",0.58
"1400",0.689
"1401",0.997
"1402",0.928
"1403",0.727
"1404",0.791
"1405",0.85
"1406",1.117
"1407",1.041
"1408",0.889
"1409",1.169
"1410",1.195
"1411",1.153
"1412",1.09
"1413",1.014
"1414",0.883
"1415",0.877
"1416",0.923
"1417",1.143
"1418",0.871
"1419",0.896
"1420",0.838
"1421",0.848
"1422",1.124
"1423",1.08
"1424",1.126
"1425",1.112
"1426",1.021
"1427",0.888
"1428",1.268
"1429",0.885
"1430",0.847
"1431",1.048
"1432",1.047
"1433",1.075
"1434",0.827
"1435",0.771
"1436",0.954
"1437",0.877
"1438",0.705
"1439",0.759
"1440",0.957
"1441",0.814
"1442",0.658
"1443",0.797
"1444",0.681
"1445",0.569
"1446",0.763
"1447",0.837
"1448",0.676
"1449",0.739
"1450",0.718
"1451",0.86
"1452",0.782
"1453",0.838
"1454",0.945
"1455",0.977
"1456",0.922
"1457",0.895
"1458",0.813
"1459",0.669
"1460",0.836
"1461",0.678
"1462",0.654
"1463",0.736
"1464",0.729
"1465",0.771
"1466",0.711
"1467",0.754
"1468",0.715
"1469",1.061
"1470",1.043
"1471",0.816
"1472",0.876
"1473",1.12
"1474",0.647
"1475",0.446
"1476",0.857
"1477",0.797
"1478",0.89
"1479",0.699
"1480",0.721
"1481",1.053
"1482",0.853
"1483",0.687
"1484",1.054
"1485",1.233
"1486",1.046
"1487",1.084
"1488",0.888
"1489",1.085
"1490",0.915
"1491",0.921
"1492",0.377
"1493",0.778
"1494",0.97
"1495",0.82
"1496",0.771
"1497",0.663
"1498",0.798
"1499",0.983
"1500",0.607
"1501",0.749
"1502",1.079
"1503",1.038
"1504",0.986
"1505",0.393
"1506",0.49
"1507",0.649
"1508",0.808
"1509",0.951
"1510",0.836
"1511",0.979
"1512",0.906
"1513",0.711
"1514",0.785
"1515",0.651
"1516",0.908
"1517",0.843
"1518",0.431
"1519",0.781
"1520",1.03
"1521",0.866
"1522",0.743
"1523",0.88
"1524",0.896
"1525",1.109
"1526",1.002
"1527",1.073
"1528",0.928
"1529",1.09
"1530",1.269
"1531",1.281
"1532",1.129
"1533",0.881
"1534",0.806
"1535",1.121
"1536",0.958
"1537",0.872
"1538",0.889
"1539",0.761
"1540",0.872
"1541",0.917
"1542",0.835
"1543",0.696
"1544",0.77
"1545",0.814
"1546",0.733
"1547",0.532
"1548",0.766
"1549",0.867
"1550",0.841
"1551",0.748
"1552",0.873
"1553",0.885
"1554",0.817
"1555",0.662
"1556",0.923
"1557",0.815
"1558",0.862
"1559",0.723
"1560",0.749
"1561",1.002
"1562",1.094
"1563",0.909
"1564",0.897
"1565",0.583
"1566",1.012
"1567",1.001
"1568",0.906
"1569",0.96
"1570",0.92
"1571",0.977
"1572",1.031
"1573",0.659
"1574",1.08
"1575",1.147
"1576",1
"1577",0.933
"1578",0.801
"1579",0.696
"1580",0.355
"1581",0.77
"1582",0.972
"1583",1.13
"1584",0.923
"1585",0.857
"1586",0.736
"1587",0.983
"1588",1.154
"1589",0.902
"1590",0.822
"1591",0.962
"1592",0.81
"1593",0.881
"1594",0.983
"1595",0.774
"1596",0.939
"1597",1.024
"1598",0.968
"1599",0.738
"1600",0.983
"1601",0.929
"1602",0.895
"1603",1.258
"1604",1.074
"1605",0.85
"1606",0.914
"1607",0.838
"1608",0.995
"1609",1.032
"1610",0.99
"1611",1.035
"1612",0.909
"1613",0.929
"1614",0.952
"1615",0.923
"1616",1.049
"1617",1.07
"1618",0.958
"1619",1.183
"1620",1.197
"1621",1.012
"1622",0.886
"1623",0.901
"1624",0.895
"1625",0.912
"1626",0.431
"1627",0.766
"1628",0.855
"1629",0.853
"1630",0.662
"1631",0.695
"1632",0.233
"1633",0.893
"1634",1.172
"1635",0.707
"1636",1.021
"1637",0.632
"1638",0.722
"1639",0.901
"1640",1.016
"1641",0.794
"1642",0.93
"1643",1.002
"1644",0.978
"1645",0.897
"1646",1.005
"1647",0.779
"1648",1.186
"1649",0.95
"1650",0.974
"1651",1.141
"1652",0.991
"1653",0.57
"1654",0.917
"1655",0.987
"1656",0.782
"1657",0.791
"1658",0.909
"1659",0.872
"1660",0.734
"1661",1.108
"1662",0.849
"1663",0.766
"1664",1.051
"1665",0.817
"1666",0.887
"1667",0.753
"1668",0.596
"1669",0.816
"1670",0.868
"1671",0.943
"1672",0.653
"1673",0.62
"1674",0.878
"1675",0.795
"1676",0.982
"1677",0.843
"1678",1.132
"1679",0.998
"1680",0.914
"1681",0.444
"1682",1.017
"1683",1.194
"1684",1.205
"1685",0.942
"1686",0.867
"1687",0.877
"1688",1.04
"1689",1.205
"1690",0.965
"1691",0.952
"1692",1.205
"1693",0.982
"1694",0.979
"1695",0.985
"1696",0.795
"1697",0.995
"1698",1.004
"1699",1.134
"1700",0.973
"1701",1.145
"1702",0.878
"1703",0.706
"1704",0.763
"1705",0.929
"1706",1.046
"1707",0.841
"1708",0.64
"1709",0.874
"1710",0.899
"1711",0.943
"1712",1.109
"1713",0.991
"1714",0.98
"1715",0.99
"1716",0.87
"1717",0.682
"1718",0.985
"1719",1.166
"1720",1.188
"1721",1.025
"1722",0.907
"1723",0.801
"1724",1.186
"1725",0.904
"1726",0.953
"1727",0.926
"1728",1.273
"1729",0.658
"1730",0.758
"1731",1.01
"1732",0.966
"1733",0.874
"1734",1.209
"1735",0.776
"1736",0.951
"1737",1.059
"1738",1.081
"1739",1.186
"1740",1.219
"1741",1.52
"1742",0.924
"1743",0.88
"1744",0.729
"1745",0.611
"1746",1.048
"1747",1.244
"1748",1.192
"1749",1.147
"1750",1.023
"1751",1.316
"1752",1.096
"1753",0.991
"1754",1.034
"1755",0.878
"1756",0.89
"1757",0.917
"1758",1.228
"1759",1.159
"1760",1.627
"1761",1.641
"1762",1.283
"1763",1.061
"1764",1.069
"1765",0.956
"1766",0.835
"1767",1.124
"1768",1.019
"1769",0.918
"1770",0.995
"1771",0.962
"1772",0.987
"1773",1.105
"1774",0.895
"1775",1.195
"1776",1.254
"1777",1.392
"1778",1.452
"1779",1.23
"1780",1.397
"1781",1.221
"1782",0.784
"1783",1.038
"1784",1.087
"1785",1.083
"1786",1.148
"1787",1.036
"1788",1.09
"1789",1.413
"1790",1.079
"1791",1.05
"1792",1.242
"1793",1.272
"1794",1.284
"1795",1.032
"1796",0.979
"1797",0.896
"1798",0.885
"1799",0.948
"1800",1.32
"1801",1.114
"1802",1.047
"1803",1.202
"1804",1.017
"1805",1.224
"1806",0.924
"1807",1.218
"1808",1.294
"1809",1.162
"1810",0.977
"1811",1.322
"1812",1.023
"1813",0.95
"1814",1.054
"1815",1.016
"1816",1.013
"1817",1.039
"1818",0.828
"1819",1.065
"1820",1.142
"1821",1.255
"1822",0.909
"1823",1.053
"1824",0.807
"1825",0.965
"1826",1.097
"1827",1.282
"1828",1.254
"1829",1.303
"1830",1.292
"1831",1.18
"1832",0.979
"1833",1.226
"1834",0.877
"1835",1.08
"1836",1.169
"1837",1.333
"1838",1.044
"1839",1.329
"1840",1.247
"1841",1.257
"1842",0.84
"1843",0.875
"1844",1.009
"1845",1.19
"1846",0.87
"1847",0.951
"1848",1.384
"1849",1.262
"1850",1.117
"1851",0.99
"1852",0.948
"1853",1.17
"1854",1.206
"1855",1.271
"1856",0.845
"1857",0.86
"1858",1.153
"1859",1.034
"1860",1.101
"1861",0.956
"1862",0.812
"1863",0.794
"1864",1.059
"1865",0.959
"1866",1.413
"1867",1.331
"1868",1.354
"1869",1.288
"1870",1.028
"1871",0.921
"1872",0.829
"1873",1.115
"1874",1.319
"1875",1.101
"1876",1.073
"1877",1.195
"1878",1.24
"1879",0.994
"1880",0.853
"1881",0.976
"1882",1.227
"1883",0.971
"1884",0.92
"1885",1.195
"1886",1.083
"1887",0.754
"1888",1.045
"1889",1.19
"1890",0.952
"1891",1.232
"1892",1.075
"1893",0.963
"1894",1.159
"1895",1.091
"1896",1.107
"1897",1.136
"1898",1.572
"1899",1.275
"1900",1.584
"1901",1.326
"1902",1.438
"1903",1.373
"1904",1.458
"1905",1.46
"1906",1.397
"1907",1.484
"1908",1.625
"1909",1.416
"1910",1.189
"1911",1.446
"1912",1.389
"1913",1.451
"1914",1.679
"1915",1.182
"1916",1.151
"1917",1.117
"1918",1.263
"1919",1.214
"1920",1.263
"1921",1.338
"1922",1.361
"1923",1.09
"1924",1.053
"1925",1.54
"1926",1.623
"1927",1.423
"1928",1.728
"1929",1.4
"1930",1.593
"1931",1.453
"1932",1.553
"1933",1.495
"1934",1.232
"1935",1.327
"1936",1.403
"1937",1.576
"1938",1.703
"1939",1.736
"1940",1.7
"1941",1.64
"1942",1.583
"1943",1.496
"1944",1.336
"1945",1.458
"1946",1.567
"1947",1.259
"1948",1.232
"1949",1.151
"1950",1.313
"1951",1.221
"1952",1.361
"1953",0.939
"1954",0.985
"1955",1.261
"1956",1.157
"1957",1.132
"1958",1.118
"1959",1.073
"1960",1.197
"1961",1.061
"1962",1.261
"1963",1.368
"1964",1.294
"1965",1.405
"1966",1.366
"1967",1.222
"1968",1.351
"1969",1.502
"1970",1.604
"1971",1.397
"1972",1.43
"1973",1.625
"1974",1.106
"1975",1.28
"1976",1.381
"1977",1.586
"1978",1.369
"1979",1.832
"1980",1.733
"1981",1.687
"1982",2.002
"1983",1.441
"1984",1.905
"1985",1.433

Tree: Spruce Mountain, Nevada. Gt Basin B C Pine 3110m 4033-11449

