"Month","Monthly production of blooms and slabs in Australia: thousand tonnes. Old definition. Jan 1956 ? May 1994"
"1967-02",427
"1967-03",449
"1967-04",399
"1967-05",471
"1967-06",457
"1967-07",476
"1967-08",474
"1967-09",474
"1967-10",481
"1967-11",439
"1967-12",464
"1968-01",463
"1968-02",423
"1968-03",478
"1968-04",455
"1968-05",487
"1968-06",452
"1968-07",479
"1968-08",489
"1968-09",468
"1968-10",502
"1968-11",472
"1968-12",511
"1969-01",495
"1969-02",449
"1969-03",525
"1969-04",498
"1969-05",502
"1969-06",483
"1969-07",539
"1969-08",539
"1969-09",447
"1969-10",521
"1969-11",523
"1969-12",526
"1970-01",495
"1970-02",431
"1970-03",446
"1970-04",449
"1970-05",497
"1970-06",481
"1970-07",536
"1970-08",499
"1970-09",472
"1970-10",488
"1970-11",496
"1970-12",486
"1971-01",495
"1971-02",414
"1971-03",491
"1971-04",478
"1971-05",431
"1971-06",481
"1971-07",533
"1971-08",492
"1971-09",490
"1971-10",509
"1971-11",482
"1971-12",411
"1972-01",426
"1972-02",433
"1972-03",358
"1972-04",434
"1972-05",503
"1972-06",440
"1972-07",513
"1972-08",529
"1972-09",523
"1972-10",521
"1972-11",555
"1972-12",488
"1973-01",504
"1973-02",494
"1973-03",547
"1973-04",523
"1973-05",526
"1973-06",427
"1973-07",591
"1973-08",560
"1973-09",587
"1973-10",553
"1973-11",565
"1973-12",542
"1974-01",580
"1974-02",507
"1974-03",537
"1974-04",477
"1974-05",504
"1974-06",489
"1974-07",445
"1974-08",539
"1974-09",587
"1974-10",601
"1974-11",619
"1974-12",594
"1975-01",520
"1975-02",493
"1975-03",447
"1975-04",443
"1975-05",483
"1975-06",444
"1975-07",441
"1975-08",518
"1975-09",496
"1975-10",397
"1975-11",489
"1975-12",477
"1976-01",493
"1976-02",433
"1976-03",505
"1976-04",372
"1976-05",455
"1976-06",487
"1976-07",494
"1976-08",478
"1976-09",462
"1976-10",501
"1976-11",458
"1976-12",505
"1977-01",483
"1977-02",391
"1977-03",517
"1977-04",569
"1977-05",597
"1977-06",573
"1977-07",535
"1977-08",549
"1977-09",582
"1977-10",587
"1977-11",483
"1977-12",524
"1978-01",583
"1978-02",522
"1978-03",550
"1978-04",475
"1978-05",547
"1978-06",581
"1978-07",618
"1978-08",542
"1978-09",565
"1978-10",576
"1978-11",516
"1978-12",571
"1979-01",572
"1979-02",486
"1979-03",573
"1979-04",529
"1979-05",543
"1979-06",537
"1979-07",530
"1979-08",576
"1979-09",602
"1979-10",585
"1979-11",524
"1979-12",603
"1980-01",579
"1980-02",508
"1980-03",569
"1980-04",432
"1980-05",375
"1980-06",450
"1980-07",582
"1980-08",536
"1980-09",494
"1980-10",486
"1980-11",471
"1980-12",502
"1981-01",566
"1981-02",493
"1981-03",525
"1981-04",517
"1981-05",532
"1981-06",482
"1981-07",537
"1981-08",562
"1981-09",420
"1981-10",461
"1981-11",391
"1981-12",409
"1982-01",473
"1982-02",382
"1982-03",468
"1982-04",440
"1982-05",472
"1982-06",434
"1982-07",448
"1982-08",370
"1982-09",258
"1982-10",240
"1982-11",297
"1982-12",294
"1983-01",231
"1983-02",243
"1983-03",285
"1983-04",277
"1983-05",317
"1983-06",323
"1983-07",351
"1983-08",338
"1983-09",323
"1983-10",332
"1983-11",332
"1983-12",317
"1984-01",343
"1984-02",307
"1984-03",343
"1984-04",283
"1984-05",287
"1984-06",333
"1984-07",347
"1984-08",332
"1984-09",352
"1984-10",320
"1984-11",308
"1984-12",342
"1985-01",332
"1985-02",290
"1985-03",342
"1985-04",312
"1985-05",353
"1985-06",362
"1985-07",405
"1985-08",381
"1985-09",381
"1985-10",394
"1985-11",376
"1985-12",388
"1986-01",388
"1986-02",316
"1986-03",353
"1986-04",355
"1986-05",349
"1986-06",360
"1986-07",329
"1986-08",375
"1986-09",384
"1986-10",350
"1986-11",339
"1986-12",338
"1987-01",314
"1987-02",247
"1987-03",267
"1987-04",235
"1987-05",248
"1987-06",244
"1987-07",237
"1987-08",233
"1987-09",236
"1987-10",222
"1987-11",192
"1987-12",202
"1988-01",192
"1988-02",207
"1988-03",250
"1988-04",239
"1988-05",237
"1988-06",214
"1988-07",209
"1988-08",220
"1988-09",217
"1988-10",251
"1988-11",241
"1988-12",239
"1989-01",187
"1989-02",201
"1989-03",217
"1989-04",221
"1989-05",187
"1989-06",188
"1989-07",221
"1989-08",222
"1989-09",231
"1989-10",236
"1989-11",194
"1989-12",200
"1990-01",190
"1990-02",136
"1990-03",198
"1990-04",211
"1990-05",188
"1990-06",213
"1990-07",230
"1990-08",228
"1990-09",227
"1990-10",209
"1990-11",187
"1990-12",217
"1991-01",199
"1991-02",182
"1991-03",228
"1991-04",197
"1991-05",221
"1991-06",197
"1991-07",214
"1991-08",222
"1991-09",217
"1991-10",208
"1991-11",178
"1991-12",203
"1992-01",210
"1992-02",182
"1992-03",219
"1992-04",202
"1992-05",209
"1992-06",231
"1992-07",235
"1992-08",232
"1992-09",211
"1992-10",222
"1992-11",207
"1992-12",160
"1993-01",179
"1993-02",161
"1993-03",174
"1993-04",171
"1993-05",150
"1993-06",143
"1993-07",133
"1993-08",138
"1993-09",139
"1993-10",137
"1993-11",137
"1993-12",126
"1994-01",92
"1994-02",129
"1994-03",135
"1994-04",143
"1994-05",141

Monthly production of blooms and slabs in Australia: thousand tonnes. Old definition. Jan 1956 ? May 1994

