"Month","Monthly production of Gas in Australia: million megajoules. Includes natural gas from July 1989. Jan 1956 ? Aug 1995"
"1970-06",6774
"1970-07",7997
"1970-08",7523
"1970-09",7438
"1970-10",6879
"1970-11",6489
"1970-12",6288
"1971-01",5919
"1971-02",6183
"1971-03",6594
"1971-04",6489
"1971-05",8040
"1971-06",9715
"1971-07",9714
"1971-08",9756
"1971-09",8595
"1971-10",7861
"1971-11",7753
"1971-12",8154
"1972-01",7778
"1972-02",7402
"1972-03",8903
"1972-04",9742
"1972-05",11372
"1972-06",12741
"1972-07",13733
"1972-08",13691
"1972-09",12239
"1972-10",12502
"1972-11",11241
"1972-12",10829
"1973-01",11569
"1973-02",10397
"1973-03",12493
"1973-04",11962
"1973-05",13974
"1973-06",14945
"1973-07",16805
"1973-08",16587
"1973-09",14225
"1973-10",14157
"1973-11",13016
"1973-12",12253
"1974-01",11704
"1974-02",12275
"1974-03",13695
"1974-04",14082
"1974-05",16555
"1974-06",17339
"1974-07",17777
"1974-08",17592
"1974-09",16194
"1974-10",15336
"1974-11",14208
"1974-12",13116
"1975-01",12354
"1975-02",12682
"1975-03",14141
"1975-04",14989
"1975-05",16159
"1975-06",18276
"1975-07",19157
"1975-08",18737
"1975-09",17109
"1975-10",17094
"1975-11",15418
"1975-12",14312
"1976-01",13260
"1976-02",14990
"1976-03",15975
"1976-04",16770
"1976-05",19819
"1976-06",20983
"1976-07",22001
"1976-08",22337
"1976-09",20750
"1976-10",19969
"1976-11",17293
"1976-12",16498
"1977-01",15117
"1977-02",16058
"1977-03",18137
"1977-04",18471
"1977-05",21398
"1977-06",23854
"1977-07",26025
"1977-08",25479
"1977-09",22804
"1977-10",19619
"1977-11",19627
"1977-12",18488
"1978-01",17243
"1978-02",18284
"1978-03",20226
"1978-04",20903
"1978-05",23768
"1978-06",26323
"1978-07",28038
"1978-08",26776
"1978-09",22886
"1978-10",22813
"1978-11",22404
"1978-12",19795
"1979-01",18839
"1979-02",18892
"1979-03",20823
"1979-04",22212
"1979-05",25076
"1979-06",26884
"1979-07",30611
"1979-08",30228
"1979-09",26762
"1979-10",25885
"1979-11",23328
"1979-12",21930
"1980-01",21433
"1980-02",22369
"1980-03",24503
"1980-04",25905
"1980-05",30605
"1980-06",34984
"1980-07",37060
"1980-08",34502
"1980-09",31793
"1980-10",29275
"1980-11",28305
"1980-12",25248
"1981-01",27730
"1981-02",27424
"1981-03",32684
"1981-04",31366
"1981-05",37459
"1981-06",41060
"1981-07",43558
"1981-08",42398
"1981-09",33827
"1981-10",34962
"1981-11",33480
"1981-12",32445
"1982-01",30715
"1982-02",30400
"1982-03",31451
"1982-04",31306
"1982-05",40592
"1982-06",44133
"1982-07",47387
"1982-08",41310
"1982-09",37913
"1982-10",34355
"1982-11",34607
"1982-12",28729
"1983-01",26138
"1983-02",30745
"1983-03",35018
"1983-04",34549
"1983-05",40980
"1983-06",42869
"1983-07",45022
"1983-08",40387
"1983-09",38180
"1983-10",38608
"1983-11",35308
"1983-12",30234
"1984-01",28801
"1984-02",33034
"1984-03",35294
"1984-04",33181
"1984-05",40797
"1984-06",42355
"1984-07",46098
"1984-08",42430
"1984-09",41851
"1984-10",39331
"1984-11",37328
"1984-12",34514
"1985-01",32494
"1985-02",33308
"1985-03",36805
"1985-04",34221
"1985-05",41020
"1985-06",44350
"1985-07",46173
"1985-08",44435
"1985-09",40943
"1985-10",39269
"1985-11",35901
"1985-12",32142
"1986-01",31239
"1986-02",32261
"1986-03",34951
"1986-04",38109
"1986-05",43168
"1986-06",45547
"1986-07",49568
"1986-08",45387
"1986-09",41805
"1986-10",41281
"1986-11",36068
"1986-12",34879
"1987-01",32791
"1987-02",34206
"1987-03",39128
"1987-04",40249
"1987-05",43519
"1987-06",46137
"1987-07",56709
"1987-08",52306
"1987-09",49397
"1987-10",45500
"1987-11",39857
"1987-12",37958
"1988-01",35567
"1988-02",37696
"1988-03",42319
"1988-04",39137
"1988-05",47062
"1988-06",50610
"1988-07",54457
"1988-08",54435
"1988-09",48516
"1988-10",43225
"1988-11",42155
"1988-12",39995
"1989-01",37541
"1989-02",37277
"1989-03",41778
"1989-04",41666
"1989-05",49616
"1989-06",57793
"1989-07",61884
"1989-08",62400
"1989-09",50820
"1989-10",51116
"1989-11",45731
"1989-12",42528
"1990-01",40459
"1990-02",40295
"1990-03",44147
"1990-04",42697
"1990-05",52561
"1990-06",56572
"1990-07",56858
"1990-08",58363
"1990-09",45627
"1990-10",45622
"1990-11",41304
"1990-12",36016
"1991-01",35592
"1991-02",35677
"1991-03",39864
"1991-04",41761
"1991-05",50380
"1991-06",49129
"1991-07",55066
"1991-08",55671
"1991-09",49058
"1991-10",44503
"1991-11",42145
"1991-12",38698
"1992-01",38963
"1992-02",38690
"1992-03",39792
"1992-04",42545
"1992-05",50145
"1992-06",58164
"1992-07",59035
"1992-08",59408
"1992-09",55988
"1992-10",47321
"1992-11",42269
"1992-12",39606
"1993-01",37059
"1993-02",37963
"1993-03",31043
"1993-04",41712
"1993-05",50366
"1993-06",56977
"1993-07",56807
"1993-08",54634
"1993-09",51367
"1993-10",48073
"1993-11",46251
"1993-12",43736
"1994-01",39975
"1994-02",40478
"1994-03",46895
"1994-04",46147
"1994-05",55011
"1994-06",57799
"1994-07",62450
"1994-08",63896
"1994-09",57784
"1994-10",53231
"1994-11",50354
"1994-12",38410
"1995-01",41600
"1995-02",41471
"1995-03",46287
"1995-04",49013
"1995-05",56624
"1995-06",61739
"1995-07",66600
"1995-08",60054

Monthly production of Gas in Australia: million megajoules. Includes natural gas from July 1989. Jan 1956 ? Aug 1995

