"Month","Monthly reported number of chickenpox, New York city, 1931-1972"
"1955-10",94
"1955-11",224
"1955-12",487
"1956-01",989
"1956-02",1639
"1956-03",1991
"1956-04",1905
"1956-05",1846
"1956-06",1381
"1956-07",451
"1956-08",176
"1956-09",83
"1956-10",150
"1956-11",272
"1956-12",550
"1957-01",798
"1957-02",902
"1957-03",1316
"1957-04",1443
"1957-05",1102
"1957-06",705
"1957-07",272
"1957-08",119
"1957-09",106
"1957-10",72
"1957-11",115
"1957-12",337
"1958-01",677
"1958-02",885
"1958-03",1142
"1958-04",1590
"1958-05",1355
"1958-06",1198
"1958-07",565
"1958-08",136
"1958-09",89
"1958-10",115
"1958-11",174
"1958-12",477
"1959-01",741
"1959-02",1034
"1959-03",1401
"1959-04",1316
"1959-05",1056
"1959-06",882
"1959-07",506
"1959-08",136
"1959-09",80
"1959-10",62
"1959-11",149
"1959-12",368
"1960-01",683
"1960-02",993
"1960-03",1205
"1960-04",1485
"1960-05",1349
"1960-06",1067
"1960-07",369
"1960-08",173
"1960-09",95
"1960-10",113
"1960-11",175
"1960-12",335
"1961-01",619
"1961-02",691
"1961-03",1022
"1961-04",858
"1961-05",953
"1961-06",913
"1961-07",332
"1961-08",127
"1961-09",82
"1961-10",62
"1961-11",147
"1961-12",384
"1962-01",711
"1962-02",928
"1962-03",1152
"1962-04",1134
"1962-05",1277
"1962-06",961
"1962-07",509
"1962-08",173
"1962-09",170
"1962-10",193
"1962-11",290
"1962-12",415
"1963-01",707
"1963-02",724
"1963-03",1105
"1963-04",1065
"1963-05",938
"1963-06",755
"1963-07",442
"1963-08",170
"1963-09",91
"1963-10",150
"1963-11",219
"1963-12",317
"1964-01",561
"1964-02",631
"1964-03",829
"1964-04",857
"1964-05",955
"1964-06",808
"1964-07",398
"1964-08",111
"1964-09",82
"1964-10",147
"1964-11",276
"1964-12",528
"1965-01",746
"1965-02",889
"1965-03",1274
"1965-04",1164
"1965-05",1024
"1965-06",863
"1965-07",436
"1965-08",270
"1965-09",156
"1965-10",139
"1965-11",156
"1965-12",306
"1966-01",362
"1966-02",438
"1966-03",624
"1966-04",543
"1966-05",642
"1966-06",659
"1966-07",286
"1966-08",86
"1966-09",43
"1966-10",68
"1966-11",168
"1966-12",253
"1967-01",526
"1967-02",601
"1967-03",809
"1967-04",759
"1967-05",950
"1967-06",1088
"1967-07",452
"1967-08",198
"1967-09",82
"1967-10",72
"1967-11",154
"1967-12",206
"1968-01",316
"1968-02",569
"1968-03",549
"1968-04",671
"1968-05",736
"1968-06",659
"1968-07",287
"1968-08",132
"1968-09",51
"1968-10",85
"1968-11",79
"1968-12",133
"1969-01",177
"1969-02",210
"1969-03",372
"1969-04",562
"1969-05",623
"1969-06",626
"1969-07",296
"1969-08",142
"1969-09",82
"1969-10",96
"1969-11",166
"1969-12",288
"1970-01",416
"1970-02",459
"1970-03",576
"1970-04",1042
"1970-05",873
"1970-06",704
"1970-07",366
"1970-08",137
"1970-09",58
"1970-10",134
"1970-11",71
"1970-12",142
"1971-01",211
"1971-02",331
"1971-03",471
"1971-04",639
"1971-05",569
"1971-06",718
"1971-07",391
"1971-08",123
"1971-09",72
"1971-10",63
"1971-11",86
"1971-12",141
"1972-01",320
"1972-02",463
"1972-03",690
"1972-04",847
"1972-05",1121
"1972-06",1048

Monthly reported number of chickenpox, New York city, 1931-1972

