"Year","Tree: Mammoth Creek, Utah. Gt Basin B C Pine 2590m 3739-11240."
"181",0.417
"182",1.143
"183",1.165
"184",1.204
"185",1.444
"186",1.469
"187",1.418
"188",1.039
"189",1.063
"190",0.698
"191",1.396
"192",1.552
"193",1.41
"194",1.473
"195",1.071
"196",1.293
"197",1.044
"198",1.253
"199",0.975
"200",1.257
"201",0.452
"202",0.631
"203",1.228
"204",0.948
"205",1.349
"206",1.341
"207",0.527
"208",0.725
"209",0.897
"210",0.867
"211",1.064
"212",1.227
"213",1.02
"214",0.84
"215",0.909
"216",1.043
"217",1.035
"218",0.886
"219",0.971
"220",1.328
"221",1.249
"222",1.022
"223",0.573
"224",1.125
"225",1.014
"226",0.332
"227",1.689
"228",1.405
"229",0.757
"230",1.248
"231",0.823
"232",1.521
"233",0.555
"234",0.997
"235",0.607
"236",0.16
"237",1.1
"238",0.83
"239",1.23
"240",1.423
"241",1.205
"242",0.875
"243",0.399
"244",0.764
"245",0.856
"246",1.209
"247",1.594
"248",0.666
"249",1.181
"250",1.044
"251",0.882
"252",1.389
"253",1.004
"254",1.78
"255",1.372
"256",1.592
"257",1.292
"258",0.633
"259",1.105
"260",1.347
"261",0.701
"262",1.319
"263",1.416
"264",1.099
"265",1.158
"266",1.291
"267",1.591
"268",2.855
"269",2.208
"270",1.355
"271",1.465
"272",1.244
"273",1.624
"274",0.639
"275",0.87
"276",1.799
"277",1.742
"278",1.348
"279",1.126
"280",2.027
"281",1.367
"282",1.109
"283",1.23
"284",1.126
"285",1.197
"286",1.061
"287",1.642
"288",1.65
"289",1.348
"290",1.087
"291",0.137
"292",1.244
"293",0.778
"294",0.7
"295",1.626
"296",1.599
"297",0.856
"298",1.603
"299",1.378
"300",1.144
"301",1.422
"302",1.038
"303",0.996
"304",1.675
"305",1.718
"306",1.938
"307",1.952
"308",0.961
"309",1.897
"310",1.821
"311",1.896
"312",1.495
"313",0.867
"314",1.606
"315",1.134
"316",1.174
"317",1.703
"318",1.297
"319",1.832
"320",1.301
"321",0.656
"322",1.19
"323",1.129
"324",1.037
"325",1.583
"326",0.924
"327",0.896
"328",0.936
"329",1.003
"330",1.489
"331",1.259
"332",1.317
"333",1.046
"334",1.154
"335",1.354
"336",1.274
"337",1.125
"338",1.311
"339",1.156
"340",0.521
"341",1.25
"342",0.985
"343",1.432
"344",0.757
"345",1.202
"346",0.906
"347",0.976
"348",1.194
"349",0.954
"350",1.599
"351",1.283
"352",1.277
"353",1.161
"354",1.18
"355",1.243
"356",1.327
"357",0.954
"358",0.91
"359",1.035
"360",1.166
"361",0.84
"362",1.285
"363",1.111
"364",1.273
"365",1.285
"366",0.855
"367",1.394
"368",1.111
"369",0.699
"370",0.622
"371",1.302
"372",1.057
"373",0.822
"374",0.998
"375",1.463
"376",1.436
"377",1.082
"378",1.323
"379",1.264
"380",1.132
"381",1.255
"382",1.147
"383",1.343
"384",1.331
"385",0.316
"386",0.457
"387",1.175
"388",0.835
"389",0.946
"390",1.155
"391",1.164
"392",1.167
"393",1.319
"394",1.505
"395",1.119
"396",0.83
"397",0.866
"398",0.891
"399",0.648
"400",0.766
"401",0.773
"402",0.609
"403",0.432
"404",0.878
"405",0.742
"406",0.879
"407",1.187
"408",1.317
"409",1.39
"410",1.269
"411",1.222
"412",0.921
"413",1.365
"414",1.115
"415",0.189
"416",0.85
"417",0.831
"418",0.766
"419",0.962
"420",1.051
"421",1.449
"422",1.308
"423",1.327
"424",1.191
"425",1.091
"426",0.777
"427",1.386
"428",1.104
"429",1.272
"430",1.024
"431",0.529
"432",0.944
"433",1.371
"434",0.842
"435",1.158
"436",1.138
"437",1.156
"438",0.873
"439",1.255
"440",0.646
"441",1.171
"442",0.661
"443",1.228
"444",0.852
"445",1.149
"446",0.622
"447",0.787
"448",0.826
"449",0.804
"450",1.264
"451",0.546
"452",0.367
"453",0.717
"454",0.779
"455",0.829
"456",0.869
"457",1.172
"458",1.13
"459",1.218
"460",1.076
"461",1.108
"462",0.819
"463",0.65
"464",0.895
"465",1.267
"466",0.998
"467",1.232
"468",1.293
"469",1.139
"470",1.466
"471",0.971
"472",0.804
"473",1.153
"474",0.793
"475",0.964
"476",1.058
"477",1.319
"478",1.013
"479",0.944
"480",1.364
"481",1.277
"482",1.163
"483",1.032
"484",0.939
"485",0.909
"486",0.875
"487",1.081
"488",0.73
"489",0.98
"490",1.112
"491",0.859
"492",0.863
"493",0.383
"494",1.105
"495",1.109
"496",1.356
"497",1.166
"498",1.21
"499",1.044
"500",0.986
"501",0.771
"502",1.173
"503",1.183
"504",1.244
"505",1.051
"506",0.855
"507",0.583
"508",0.645
"509",0.596
"510",0.951
"511",0.968
"512",1.015
"513",0.633
"514",0.71
"515",0.607
"516",0.338
"517",0.424
"518",0.859
"519",0.835
"520",0.291
"521",0.927
"522",1.091
"523",1.34
"524",0.86
"525",1.107
"526",0.192
"527",1.152
"528",0.508
"529",0.961
"530",0.954
"531",0.715
"532",0.955
"533",0.778
"534",1.029
"535",0.508
"536",1.197
"537",0.989
"538",1.241
"539",0.873
"540",0.874
"541",1.007
"542",0.252
"543",0.398
"544",0.756
"545",1.044
"546",1.234
"547",1.065
"548",1.556
"549",1.365
"550",1.201
"551",1.418
"552",1.128
"553",0.79
"554",0.694
"555",0.933
"556",1.178
"557",1.476
"558",1.112
"559",1.039
"560",0.997
"561",1.044
"562",1.225
"563",0.015
"564",1.207
"565",0.386
"566",0.943
"567",1.128
"568",0.598
"569",0.571
"570",0.646
"571",1.348
"572",1.073
"573",0.992
"574",1.314
"575",1.165
"576",0.939
"577",1.05
"578",0.99
"579",1.02
"580",0.871
"581",1.245
"582",1.141
"583",0.961
"584",0.411
"585",0.773
"586",0.92
"587",1.201
"588",0.743
"589",1.269
"590",0.278
"591",0.034
"592",1.262
"593",1.005
"594",0.904
"595",1.005
"596",0.823
"597",0.682
"598",0.828
"599",0.39
"600",1.061
"601",1.039
"602",1.197
"603",1.062
"604",0.674
"605",0.962
"606",0.532
"607",0.82
"608",0.962
"609",0.987
"610",0.938
"611",0.329
"612",0.744
"613",0.827
"614",0.99
"615",0.948
"616",1.129
"617",1.325
"618",0.819
"619",1.231
"620",0.633
"621",1.286
"622",1.626
"623",1.281
"624",0.636
"625",1.208
"626",1.174
"627",1.305
"628",1.528
"629",1.207
"630",0.836
"631",1.142
"632",0.968
"633",0.927
"634",0.765
"635",0.918
"636",1.057
"637",0.84
"638",0.809
"639",0.904
"640",0.209
"641",1.125
"642",0.855
"643",0.631
"644",0.673
"645",0.48
"646",0.312
"647",0.673
"648",0.775
"649",1.034
"650",1.057
"651",0.356
"652",1.124
"653",1.099
"654",1.221
"655",1.032
"656",1.067
"657",1.075
"658",0.945
"659",0.694
"660",0.47
"661",0.821
"662",0.887
"663",0.819
"664",0.491
"665",0.914
"666",0.89
"667",1.051
"668",1.021
"669",1.022
"670",1.115
"671",1.817
"672",1.407
"673",1.143
"674",1.06
"675",1.219
"676",0.806
"677",0.68
"678",1.21
"679",1.141
"680",1.042
"681",0.82
"682",1.255
"683",0.938
"684",1.234
"685",0.87
"686",0.838
"687",1.019
"688",1.378
"689",1.458
"690",1.57
"691",1.408
"692",1.523
"693",1.413
"694",0.987
"695",1.358
"696",1.529
"697",0.899
"698",1.026
"699",0.606
"700",0.757
"701",1.173
"702",1.185
"703",1.106
"704",0.236
"705",1.57
"706",0.881
"707",1.174
"708",1.428
"709",1.068
"710",1.654
"711",1.529
"712",1.439
"713",1.237
"714",1.64
"715",1.522
"716",1.261
"717",1.158
"718",1.322
"719",1.295
"720",1.021
"721",1.26
"722",1.297
"723",1.543
"724",1.148
"725",1.194
"726",1.007
"727",0.913
"728",1.44
"729",1.154
"730",1.719
"731",1.333
"732",1.365
"733",1.183
"734",0.895
"735",0.996
"736",0.863
"737",1.338
"738",0.332
"739",0.802
"740",1.255
"741",0.822
"742",0.78
"743",0.675
"744",0.781
"745",1.009
"746",1.113
"747",1.141
"748",0.816
"749",0.845
"750",0.389
"751",0.236
"752",0.71
"753",0.762
"754",1.236
"755",1.438
"756",1.253
"757",1.38
"758",1.355
"759",1.075
"760",1.215
"761",0.516
"762",0.956
"763",1.105
"764",0.96
"765",1.347
"766",1.315
"767",0.736
"768",0.984
"769",0.672
"770",0.835
"771",0.899
"772",1.361
"773",0.97
"774",0.551
"775",0.817
"776",0.617
"777",0.587
"778",0.571
"779",0.202
"780",0.935
"781",0.803
"782",0.6
"783",1.011
"784",1.396
"785",1.32
"786",0.929
"787",0.966
"788",0.809
"789",0.793
"790",0.499
"791",0.576
"792",0.581
"793",0.762
"794",1.001
"795",0.747
"796",0.395
"797",0.624
"798",0.594
"799",0.576
"800",1.114
"801",0.949
"802",0.94
"803",1.079
"804",0.37
"805",1.014
"806",0.874
"807",0.941
"808",0.408
"809",0
"810",0.285
"811",0.744
"812",0.921
"813",0.745
"814",0.982
"815",0.793
"816",0.772
"817",0.479
"818",1.004
"819",0.02
"820",1.418
"821",1.35
"822",1.27
"823",0.509
"824",1.134
"825",0.872
"826",1.495
"827",1.096
"828",1.255
"829",1.036
"830",0.969
"831",1.576
"832",1.114
"833",1.335
"834",1.362
"835",1.104
"836",0.909
"837",1.002
"838",1.471
"839",1.051
"840",1.253
"841",0.772
"842",1.322
"843",1.304
"844",1.47
"845",1.081
"846",0.977
"847",0.301
"848",1.185
"849",0.484
"850",0.994
"851",0.837
"852",0.556
"853",0.829
"854",1.02
"855",0.825
"856",0.806
"857",0.797
"858",1.088
"859",0.863
"860",0.847
"861",1.105
"862",0.901
"863",1.216
"864",0.861
"865",0.333
"866",1.132
"867",0.44
"868",0.842
"869",0.899
"870",1.105
"871",0.781
"872",0.845
"873",1.479
"874",1.021
"875",0.787
"876",1.266
"877",1.411
"878",0.648
"879",1.124
"880",1.073
"881",1.256
"882",0.961
"883",0.769
"884",0.543
"885",0.891
"886",0.874
"887",0.928
"888",1.099
"889",0.887
"890",1.133
"891",1.255
"892",1.23
"893",0.917
"894",1.036
"895",0.858
"896",1.032
"897",0.799
"898",0.987
"899",1.236
"900",0.998
"901",0.998
"902",1.152
"903",0.516
"904",0.786
"905",0.801
"906",0.569
"907",0.452
"908",0.936
"909",0.839
"910",0.35
"911",1.051
"912",1.294
"913",0.866
"914",1.008
"915",1.194
"916",1.526
"917",1.617
"918",1.163
"919",0.995
"920",0.457
"921",1.2
"922",0.597
"923",0.355
"924",0.261
"925",0.812
"926",1.252
"927",0.724
"928",1.073
"929",0.94
"930",0.754
"931",0.902
"932",0.661
"933",0.961
"934",0.754
"935",0.572
"936",0.943
"937",1.272
"938",0.938
"939",0.725
"940",0.912
"941",1.006
"942",0.792
"943",0.663
"944",0.302
"945",1.001
"946",0.915
"947",0.753
"948",0.864
"949",0.914
"950",0.966
"951",0.572
"952",0.807
"953",0.934
"954",0.268
"955",0.556
"956",0.946
"957",0.355
"958",0.877
"959",1.055
"960",1.076
"961",0.338
"962",1.168
"963",0.977
"964",1.168
"965",0.98
"966",1.155
"967",0.626
"968",0.502
"969",0.754
"970",0.855
"971",0.926
"972",0.873
"973",1.162
"974",0.803
"975",0.184
"976",1.065
"977",0.978
"978",0.743
"979",0.751
"980",0.2
"981",0.084
"982",1.245
"983",1.228
"984",0.797
"985",1.11
"986",1.115
"987",1.113
"988",1.216
"989",1.063
"990",0.91
"991",0.89
"992",1.098
"993",0.62
"994",1.108
"995",0.334
"996",1.229
"997",0.912
"998",0.671
"999",0.834
"1000",1.046
"1001",0.751
"1002",0.904
"1003",0.829
"1004",1.096
"1005",0.373
"1006",1.102
"1007",1.061
"1008",0.623
"1009",1.342
"1010",0.941
"1011",0.97
"1012",0.492
"1013",1.01
"1014",0.518
"1015",1.302
"1016",1.223
"1017",1.327
"1018",1.019
"1019",1.027
"1020",1.269
"1021",0.646
"1022",0.776
"1023",0.988
"1024",1.123
"1025",0.439
"1026",0.774
"1027",1.049
"1028",0.808
"1029",0.721
"1030",0.712
"1031",0.587
"1032",0.596
"1033",0.45
"1034",0.622
"1035",0.342
"1036",0.562
"1037",0.655
"1038",0.593
"1039",0.283
"1040",0.955
"1041",0.985
"1042",1.193
"1043",0.345
"1044",0.902
"1045",0.963
"1046",0.214
"1047",1.291
"1048",0.746
"1049",1.005
"1050",1.237
"1051",1.467
"1052",1.487
"1053",1.206
"1054",1.647
"1055",1.052
"1056",1.4
"1057",1.042
"1058",1.334
"1059",0.797
"1060",1.106
"1061",1.114
"1062",1.064
"1063",1.432
"1064",1.316
"1065",1.757
"1066",0.921
"1067",0.329
"1068",0.552
"1069",0.839
"1070",1.209
"1071",1.339
"1072",1.16
"1073",1.084
"1074",0.833
"1075",1.178
"1076",1.672
"1077",1.325
"1078",1.496
"1079",1.562
"1080",1.377
"1081",1.415
"1082",1.409
"1083",1.343
"1084",1.295
"1085",1.151
"1086",1.344
"1087",1.287
"1088",1.045
"1089",1.126
"1090",1.117
"1091",0.523
"1092",1.169
"1093",0.774
"1094",0.362
"1095",1.12
"1096",0.994
"1097",1.191
"1098",0.429
"1099",0.897
"1100",0.966
"1101",1.136
"1102",0.99
"1103",0.668
"1104",0.965
"1105",0.972
"1106",0.82
"1107",0.942
"1108",0.941
"1109",1.107
"1110",0.95
"1111",0.562
"1112",1.124
"1113",0.757
"1114",1.223
"1115",1.186
"1116",1.263
"1117",1.355
"1118",1.045
"1119",1.023
"1120",1.396
"1121",0.454
"1122",1.218
"1123",1.208
"1124",1.146
"1125",1.119
"1126",0.304
"1127",0.885
"1128",1.351
"1129",1.125
"1130",0.593
"1131",1.301
"1132",0.169
"1133",0.691
"1134",0.865
"1135",0.834
"1136",0.967
"1137",1.035
"1138",0.635
"1139",0.939
"1140",0.884
"1141",1.307
"1142",1.012
"1143",1.215
"1144",1.114
"1145",1.353
"1146",0.45
"1147",0.902
"1148",0.629
"1149",0.89
"1150",0.601
"1151",0.979
"1152",0.878
"1153",0.826
"1154",0.318
"1155",1.163
"1156",0.247
"1157",1.068
"1158",0.507
"1159",1.274
"1160",1.162
"1161",0.983
"1162",0.923
"1163",1.634
"1164",0.765
"1165",1.366
"1166",0.626
"1167",1.285
"1168",0.999
"1169",0.933
"1170",0.736
"1171",1.144
"1172",0.93
"1173",1.115
"1174",0.809
"1175",0.424
"1176",1.203
"1177",0.998
"1178",1.554
"1179",0.981
"1180",1.118
"1181",1.138
"1182",0.683
"1183",1.255
"1184",1.543
"1185",0.876
"1186",0.47
"1187",1.45
"1188",1.182
"1189",1.151
"1190",1.261
"1191",1.454
"1192",1.297
"1193",0.572
"1194",1.219
"1195",1.19
"1196",0.827
"1197",1.505
"1198",1.123
"1199",0.696
"1200",0.99
"1201",1.352
"1202",1.172
"1203",1.503
"1204",1.261
"1205",1.07
"1206",0.77
"1207",0.978
"1208",0.564
"1209",1.027
"1210",1.003
"1211",0.896
"1212",1.078
"1213",1.054
"1214",1.126
"1215",0.55
"1216",1.035
"1217",0.134
"1218",0.432
"1219",1.294
"1220",1.201
"1221",1.053
"1222",1.335
"1223",1.122
"1224",0.797
"1225",0.815
"1226",1.25
"1227",0.079
"1228",1.842
"1229",1.197
"1230",1.151
"1231",1.425
"1232",1.23
"1233",0.634
"1234",0.926
"1235",1.013
"1236",0.747
"1237",0.891
"1238",1.262
"1239",0.912
"1240",0.559
"1241",1.095
"1242",1.006
"1243",0.773
"1244",0.965
"1245",0.23
"1246",0.633
"1247",0.478
"1248",0.942
"1249",0.942
"1250",0.837
"1251",0.206
"1252",0.85
"1253",1.048
"1254",0.211
"1255",0.548
"1256",0.84
"1257",1.12
"1258",0.695
"1259",1.194
"1260",1.266
"1261",1.151
"1262",0.991
"1263",1.11
"1264",0.445
"1265",1.089
"1266",0.923
"1267",1.266
"1268",1.194
"1269",1.234
"1270",0.639
"1271",1.178
"1272",1.234
"1273",0.839
"1274",0.76
"1275",1.385
"1276",0.282
"1277",0.856
"1278",0.86
"1279",0.59
"1280",0.876
"1281",0.855
"1282",0.903
"1283",0.424
"1284",1.009
"1285",0.465
"1286",0.354
"1287",0.778
"1288",0.616
"1289",0.834
"1290",1.418
"1291",1.224
"1292",0.645
"1293",0.818
"1294",0.816
"1295",0.03
"1296",0.9
"1297",1.093
"1298",1.619
"1299",0.445
"1300",1.206
"1301",1.04
"1302",1.455
"1303",1.565
"1304",1.163
"1305",1.588
"1306",1.299
"1307",0.926
"1308",0.72
"1309",1.709
"1310",1.564
"1311",0.874
"1312",1.394
"1313",1.85
"1314",1.222
"1315",1.155
"1316",0.511
"1317",1.357
"1318",1.273
"1319",1.732
"1320",1.152
"1321",1.352
"1322",1.32
"1323",1.235
"1324",1.415
"1325",1.129
"1326",1.337
"1327",1.339
"1328",0.839
"1329",0.811
"1330",1.64
"1331",1.516
"1332",1.647
"1333",1.834
"1334",1.307
"1335",0.514
"1336",1.368
"1337",1.528
"1338",0.639
"1339",0.99
"1340",1.471
"1341",1.74
"1342",0.696
"1343",0.6
"1344",1.256
"1345",1.184
"1346",1.186
"1347",1.329
"1348",1.302
"1349",1.195
"1350",0.49
"1351",0.928
"1352",0.916
"1353",1.483
"1354",1.459
"1355",1.019
"1356",1.2
"1357",1.356
"1358",1.11
"1359",0.95
"1360",0.656
"1361",0.375
"1362",0.321
"1363",0.658
"1364",0.721
"1365",0.977
"1366",0.994
"1367",0.953
"1368",1.096
"1369",0.657
"1370",0.753
"1371",0.766
"1372",1.297
"1373",1.105
"1374",1.457
"1375",0.597
"1376",0.845
"1377",0.847
"1378",1.005
"1379",0.364
"1380",1.63
"1381",0.98
"1382",0.888
"1383",1.137
"1384",0.841
"1385",1.081
"1386",0.831
"1387",0.862
"1388",0.794
"1389",0.915
"1390",0.668
"1391",0.676
"1392",1.02
"1393",0.908
"1394",1.25
"1395",0.773
"1396",0.73
"1397",0.606
"1398",0.978
"1399",0.736
"1400",0.765
"1401",1.108
"1402",0.831
"1403",0.669
"1404",0.809
"1405",0.408
"1406",1.204
"1407",0.82
"1408",1.02
"1409",0.962
"1410",1.019
"1411",0.887
"1412",1.067
"1413",0.38
"1414",1.155
"1415",0.929
"1416",0.79
"1417",1.09
"1418",1.429
"1419",0.785
"1420",0.971
"1421",0.485
"1422",0.943
"1423",1.032
"1424",1.204
"1425",0.94
"1426",0.55
"1427",0.8
"1428",1.145
"1429",1.025
"1430",0.776
"1431",0.762
"1432",0.776
"1433",0.796
"1434",0.524
"1435",0.31
"1436",0.806
"1437",0.873
"1438",0.724
"1439",0.478
"1440",0.856
"1441",0.843
"1442",0.448
"1443",0.685
"1444",0.129
"1445",0.886
"1446",0.117
"1447",1.062
"1448",0.715
"1449",0.457
"1450",0.38
"1451",1.2
"1452",0.888
"1453",1.03
"1454",1.058
"1455",0.511
"1456",0.789
"1457",0.574
"1458",0.814
"1459",0.486
"1460",0.682
"1461",0.506
"1462",0.887
"1463",0.851
"1464",0.264
"1465",0.392
"1466",1.108
"1467",1.188
"1468",1.11
"1469",1.043
"1470",1.101
"1471",0.522
"1472",0.815
"1473",0.799
"1474",0.867
"1475",0.658
"1476",0.987
"1477",1.45
"1478",1.63
"1479",0.859
"1480",1.226
"1481",1.346
"1482",1.303
"1483",1.086
"1484",1.739
"1485",1.165
"1486",1.379
"1487",0.868
"1488",0.974
"1489",1.001
"1490",1.472
"1491",1.515
"1492",0.814
"1493",1.308
"1494",1.281
"1495",0.918
"1496",0.694
"1497",0.536
"1498",1.097
"1499",1.138
"1500",0.142
"1501",0.562
"1502",0.894
"1503",0.841
"1504",0.987
"1505",0.441
"1506",0.136
"1507",1.388
"1508",1.214
"1509",1.281
"1510",1.047
"1511",1.429
"1512",1.211
"1513",0.966
"1514",1.281
"1515",0.865
"1516",1.083
"1517",1.336
"1518",0.974
"1519",1.624
"1520",0.999
"1521",0.599
"1522",0.492
"1523",1.03
"1524",0.972
"1525",0.906
"1526",1.289
"1527",1.225
"1528",0.62
"1529",0.86
"1530",1.09
"1531",0.735
"1532",0.388
"1533",1.118
"1534",1.105
"1535",1.096
"1536",1.485
"1537",1.225
"1538",0.703
"1539",0.973
"1540",1.122
"1541",0.816
"1542",0.284
"1543",1.233
"1544",0.627
"1545",0.699
"1546",1.576
"1547",1.006
"1548",1.14
"1549",1.409
"1550",1.637
"1551",1.448
"1552",1.331
"1553",1.917
"1554",1.506
"1555",1.582
"1556",2.114
"1557",1.243
"1558",0.894
"1559",1.179
"1560",1.191
"1561",0.92
"1562",1.341
"1563",0.776
"1564",1.349
"1565",1.42
"1566",0.618
"1567",1.014
"1568",1.258
"1569",1.528
"1570",1.098
"1571",1.002
"1572",1.203
"1573",0.786
"1574",0.7
"1575",1.044
"1576",1.154
"1577",0.988
"1578",1.153
"1579",0.767
"1580",0.759
"1581",1.258
"1582",1.09
"1583",0.98
"1584",0.535
"1585",0.203
"1586",1.408
"1587",1.32
"1588",0.949
"1589",1.317
"1590",0.375
"1591",0.926
"1592",0.508
"1593",0.752
"1594",1.507
"1595",1.534
"1596",1.439
"1597",0.713
"1598",1.13
"1599",1.487
"1600",0.266
"1601",0.958
"1602",1.206
"1603",1.134
"1604",1.293
"1605",1.328
"1606",1.163
"1607",1.133
"1608",1.461
"1609",1.314
"1610",1.782
"1611",1.273
"1612",1.338
"1613",0.869
"1614",1.511
"1615",1.566
"1616",1.361
"1617",1.778
"1618",1.356
"1619",1.447
"1620",1.555
"1621",1.792
"1622",1.118
"1623",0.874
"1624",0.223
"1625",1.201
"1626",0.117
"1627",1.313
"1628",1.016
"1629",0.907
"1630",0.846
"1631",0.763
"1632",0.128
"1633",1.348
"1634",1.233
"1635",1.048
"1636",1.528
"1637",0.51
"1638",0.703
"1639",1.005
"1640",1.716
"1641",1.32
"1642",0.957
"1643",1.201
"1644",1.238
"1645",1.083
"1646",0.698
"1647",1.577
"1648",0.709
"1649",1.535
"1650",0.776
"1651",1.796
"1652",0.638
"1653",0.989
"1654",0.32
"1655",0.996
"1656",1.209
"1657",1.329
"1658",1.204
"1659",1.237
"1660",1.514
"1661",1.651
"1662",1.293
"1663",0.995
"1664",1.33
"1665",0.88
"1666",1.45
"1667",0.829
"1668",1.003
"1669",1.013
"1670",0.325
"1671",1.141
"1672",1.229
"1673",1.098
"1674",1.311
"1675",0.756
"1676",0.887
"1677",1.538
"1678",1.372
"1679",0.662
"1680",1.11
"1681",1.675
"1682",1.399
"1683",1.464
"1684",0.69
"1685",1.068
"1686",0.512
"1687",1.341
"1688",1.596
"1689",1.278
"1690",0.884
"1691",1.138
"1692",1.706
"1693",1.288
"1694",0.993
"1695",1.211
"1696",1.105
"1697",1.132
"1698",1.136
"1699",0.792
"1700",1.088
"1701",1.431
"1702",1.37
"1703",0.561
"1704",1.039
"1705",1.586
"1706",0.944
"1707",0.523
"1708",0.6
"1709",0.976
"1710",1.142
"1711",0.805
"1712",1.192
"1713",0.737
"1714",1.179
"1715",0.652
"1716",0.554
"1717",0.598
"1718",1.094
"1719",1.28
"1720",1.884
"1721",0.785
"1722",0.398
"1723",1.464
"1724",1.41
"1725",1.115
"1726",1.493
"1727",1.071
"1728",1.182
"1729",0.243
"1730",0.793
"1731",1.163
"1732",0.874
"1733",0.755
"1734",1.543
"1735",0.258
"1736",0.164
"1737",0.88
"1738",1.273
"1739",0.619
"1740",0.738
"1741",1.565
"1742",0.451
"1743",1.419
"1744",1.185
"1745",1.318
"1746",1.513
"1747",1.536
"1748",0.481
"1749",1.757
"1750",1.547
"1751",0.682
"1752",0.931
"1753",0.972
"1754",0.474
"1755",0.363
"1756",0.816
"1757",1.175
"1758",1.105
"1759",0.9
"1760",1.233
"1761",0.785
"1762",1.06
"1763",0.37
"1764",0.791
"1765",0.888
"1766",1.414
"1767",0.766
"1768",1.147
"1769",1.331
"1770",1.484
"1771",1.741
"1772",0.868
"1773",0.278
"1774",0.936
"1775",1.239
"1776",1.416
"1777",0.618
"1778",1.052
"1779",1.121
"1780",0.486
"1781",0.656
"1782",0.192
"1783",1.196
"1784",0.896
"1785",1.017
"1786",0.683
"1787",1.529
"1788",0.594
"1789",0.464
"1790",1.354
"1791",1.068
"1792",1.455
"1793",1.225
"1794",0.766
"1795",0.846
"1796",0.866
"1797",1.173
"1798",0.608
"1799",1.116
"1800",0.845
"1801",0.84
"1802",1.147
"1803",1.141
"1804",0.909
"1805",0.575
"1806",0.863
"1807",1.107
"1808",0.504
"1809",0.56
"1810",1.095
"1811",0.963
"1812",1.183
"1813",0.425
"1814",0.923
"1815",0.943
"1816",1.066
"1817",1.045
"1818",0.809
"1819",1.272
"1820",0.638
"1821",1.093
"1822",0.407
"1823",0.593
"1824",0.634
"1825",0.96
"1826",1.148
"1827",1.202
"1828",1.387
"1829",0.434
"1830",1.353
"1831",1.134
"1832",1.311
"1833",1.391
"1834",0.879
"1835",1.439
"1836",0.526
"1837",1.101
"1838",1.25
"1839",1.476
"1840",1.554
"1841",0.382
"1842",0.801
"1843",1.3
"1844",1.145
"1845",0.466
"1846",1.147
"1847",0.306
"1848",1.21
"1849",1.009
"1850",1.253
"1851",0.982
"1852",1.101
"1853",1.101
"1854",0.976
"1855",0.943
"1856",0.197
"1857",0.309
"1858",0.605
"1859",0.574
"1860",0.502
"1861",0.413
"1862",1.259
"1863",0.745
