"Month","Monthly electricity production in Australia: million kilowatt hours. Jan 1956 ? Aug 1995"
"1993-07",14590
"1993-08",14354
"1993-09",13254
"1993-10",13464
"1993-11",13302
"1993-12",13456
"1994-01",13171
"1994-02",12517
"1994-03",13489
"1994-04",12509
"1994-05",13785
"1994-06",13921
"1994-07",14603
"1994-08",14749
"1994-09",13540
"1994-10",13457
"1994-11",13243
"1994-12",13590
"1995-01",13487
"1995-02",12776
"1995-03",13812
"1995-04",13032
"1995-05",14268
"1995-06",14473
"1995-07",15359
"1995-08",14457

Monthly electricity production in Australia: million kilowatt hours. Jan 1956 ? Aug 1995

