"Month","Monthly reported number of cases of mumps, New York city, 1928-1972"
"1971-11",88
"1971-12",132
"1972-01",149
"1972-02",157
"1972-03",219
"1972-04",221
"1972-05",264
"1972-06",298

Monthly reported number of cases of mumps, New York city, 1928-1972

